Tube Name:,strain_number,Sample ID:,All Events ,P1 Events,V1L Events,V1R Events,H1-UR Events,H1-UL Events,H1-LL Events,H1-LR Events,P2 Events,P3 Events,All Events  % Total,P1 % Total,V1L % Total,V1R % Total,H1-UR % Total,H1-UL % Total,H1-LL % Total,H1-LR % Total,P2 % Total,P3 % Total,All Events  % Parent,P1 % Parent,V1L % Parent,V1R % Parent,H1-UR % Parent,H1-UL % Parent,H1-LL % Parent,H1-LR % Parent,P2 % Parent,P3 % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,P2 Mean FITC-A,P3 Mean FITC-A,All Events  Mean FSC-A,P1 Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,H1-UR Mean FSC-A,H1-UL Mean FSC-A,H1-LL Mean FSC-A,H1-LR Mean FSC-A,P2 Mean FSC-A,P3 Mean FSC-A,All Events  Mean SSC-A,P1 Mean SSC-A,V1L Mean SSC-A,V1R Mean SSC-A,H1-UR Mean SSC-A,H1-UL Mean SSC-A,H1-LL Mean SSC-A,H1-LR Mean SSC-A,P2 Mean SSC-A,P3 Mean SSC-A,All Events  Mean FSC-Width,P1 Mean FSC-Width,V1L Mean FSC-Width,V1R Mean FSC-Width,H1-UR Mean FSC-Width,H1-UL Mean FSC-Width,H1-LL Mean FSC-Width,H1-LR Mean FSC-Width,P2 Mean FSC-Width,P3 Mean FSC-Width,All Events  Mean Time,P1 Mean Time,V1L Mean Time,V1R Mean Time,H1-UR Mean Time,H1-UL Mean Time,H1-LL Mean Time,H1-LR Mean Time,P2 Mean Time,P3 Mean Time,All Events  CV FITC-A,P1 CV FITC-A,V1L CV FITC-A,V1R CV FITC-A,H1-UR CV FITC-A,H1-UL CV FITC-A,H1-LL CV FITC-A,H1-LR CV FITC-A,P2 CV FITC-A,P3 CV FITC-A,All Events  rCV FITC-A,P1 rCV FITC-A,V1L rCV FITC-A,V1R rCV FITC-A,H1-UR rCV FITC-A,H1-UL rCV FITC-A,H1-LL rCV FITC-A,H1-LR rCV FITC-A,P2 rCV FITC-A,P3 rCV FITC-A
01-Well-B11,1,,200000,168394,1488,166906,0,0,909,108408,193651,109317,100.00%,84.20%,0.74%,83.45%,0.00%,0.00%,0.45%,54.20%,96.83%,54.66%,100.00%,84.20%,0.88%,99.12%,0.00%,0.00%,0.83%,99.17%,96.83%,64.92%,163487.3,169163.1,2612.1,170647.9,####,####,3174.5,163312,164068.2,161980.4,11222.6,11450.3,10596,11457.9,####,####,10708,11385.5,11234.6,11379.8,9735.3,9977.4,9610.5,9980.7,####,####,9434.4,9793,9683.6,9790,667.6,680.4,670,680.5,####,####,675.2,670.1,667.7,670.1,238111.3,232902.6,206339.4,233139.4,####,####,219232,232572.4,245637,232461.5,55.00%,49.04%,144.88%,47.94%,####,####,133.67%,34.02%,55.02%,35.32%,40.17%,38.25%,115.25%,37.86%,####,####,113.32%,32.61%,40.15%,32.96%
01-Well-B12,1,,200000,169421,168520,901,0,0,112821,167,192255,112988,100.00%,84.71%,84.26%,0.45%,0.00%,0.00%,56.41%,0.08%,96.13%,56.49%,100.00%,84.71%,99.47%,0.53%,0.00%,0.00%,99.85%,0.15%,96.13%,66.69%,4529.2,4717.2,4463.4,52183.9,####,####,4325.8,130740.2,4534.5,4512.7,10967,11156.8,11080.6,25413.4,####,####,11135.1,12150.7,10989,11136.6,9405.6,9593,9508.3,25435.9,####,####,9400.2,10874.8,9384.1,9402.4,664.5,676.4,674.4,1045.4,####,####,668.4,678.5,665,668.4,213510,211251.1,211191,222498.2,####,####,209399.8,197536.9,221765.3,209382.2,139.89%,131.55%,49.01%,122.48%,####,####,37.76%,49.68%,139.41%,126.23%,44.18%,41.52%,41.30%,21.20%,####,####,35.70%,36.19%,44.19%,35.76%
01-Well-C1,1,,200000,174440,173752,688,0,0,121332,63,193842,121395,100.00%,87.22%,86.88%,0.34%,0.00%,0.00%,60.67%,0.03%,96.92%,60.70%,100.00%,87.22%,99.61%,0.39%,0.00%,0.00%,99.95%,0.05%,96.92%,69.59%,4189.5,4334.4,4256.5,24018.1,####,####,4056.3,54291,4186.9,4082.4,10972.3,11203.2,11139.5,27292.3,####,####,11045.2,14169.6,10991.4,11046.9,9627.5,9957.9,9886.1,28099.7,####,####,9591.4,12275.5,9611,9592.8,666.3,677.1,675.5,1075,####,####,668.8,692.2,666.7,668.8,224762.3,223947.6,223931.5,228004.5,####,####,223685.3,198156.6,231631.7,223672,77.72%,72.60%,52.90%,120.85%,####,####,43.79%,133.22%,77.00%,65.43%,48.20%,45.89%,45.70%,12.88%,####,####,40.04%,28.05%,48.33%,40.06%
01-Well-C2,1,,200000,177587,2830,174757,0,0,1389,123696,198457,125085,100.00%,88.79%,1.42%,87.38%,0.00%,0.00%,0.69%,61.85%,99.23%,62.54%,100.00%,88.79%,1.59%,98.41%,0.00%,0.00%,1.11%,98.89%,99.23%,70.44%,113794.1,117357.1,2968.2,119209.5,####,####,3766.2,116503.5,113943.1,115251.6,12348.3,12457.1,9865.5,12499.1,####,####,10547.2,12451,12357.9,12429.8,11235.6,11347.5,9406.8,11378.9,####,####,10292.5,11360.3,11243.4,11348.4,686.1,699.4,673.7,699.8,####,####,680.6,688.8,686.2,688.8,402164.2,404985.5,320155.5,406359.2,####,####,321064.8,405330.8,405194.3,404395.1,52.48%,44.37%,128.84%,42.28%,####,####,110.62%,32.62%,52.44%,34.36%,38.24%,35.58%,133.43%,34.84%,####,####,129.80%,30.99%,38.23%,31.42%
01-Well-C3,1,,200000,147324,79424,67900,0,0,56850,37008,109355,93858,100.00%,73.66%,39.71%,33.95%,0.00%,0.00%,28.42%,18.50%,54.68%,46.93%,100.00%,73.66%,53.91%,46.09%,0.00%,0.00%,60.57%,39.43%,54.68%,63.71%,16145,16787.4,11786.2,22637.4,####,####,12693.3,22739.1,15918.4,16654.4,15867.4,15015,12653.2,17777.5,####,####,13220.7,16920.5,15775.7,14679.5,12328.6,12288.3,9996.2,14969.5,####,####,10981.7,14548.6,12469.2,12388.1,732.1,750,728.3,775.3,####,####,714,745.7,729.7,726.5,2727828.3,2743649.3,2724228.5,2766366.3,####,####,2726004,2758835.8,1559031.4,2738949.5,77.87%,74.16%,25.65%,71.51%,####,####,22.18%,71.52%,80.53%,69.30%,35.79%,32.77%,20.46%,18.19%,####,####,19.96%,15.17%,36.46%,29.32%
01-Well-C4,1,,200000,170991,1833,169158,0,0,621,98795,198395,99416,100.00%,85.50%,0.92%,84.58%,0.00%,0.00%,0.31%,49.40%,99.20%,49.71%,100.00%,85.50%,1.07%,98.93%,0.00%,0.00%,0.62%,99.38%,99.20%,58.14%,85221.8,88730.6,2679.5,89663.1,####,####,3439.6,92850.6,85326.8,92292.1,12104.3,12282.9,9811.7,12309.7,####,####,10600.6,12641.1,12115.4,12628.4,10281.4,10550.4,9330.8,10563.6,####,####,10888.8,11343.9,10280,11341,701.3,715.4,689.9,715.7,####,####,688.3,698.7,701.6,698.6,493519.7,496472.3,362134.3,497928,####,####,363333.3,489450.9,497437.7,488663.1,47.83%,40.29%,143.09%,38.81%,####,####,124.32%,29.05%,47.74%,30.12%,36.10%,33.23%,137.98%,32.83%,####,####,136.16%,28.13%,36.08%,28.36%
01-Well-C5,2,,200000,176924,121375,55549,0,0,78452,33108,197107,111560,100.00%,88.46%,60.69%,27.77%,0.00%,0.00%,39.23%,16.55%,98.55%,55.78%,100.00%,88.46%,68.60%,31.40%,0.00%,0.00%,70.32%,29.68%,98.55%,63.06%,18892.5,19476.2,6305.9,48253.4,####,####,6621.6,50288.6,18913.9,19580.8,12090.5,12269.9,11843.6,13201.3,####,####,12357.7,12614.1,12106.8,12433.8,11138,11174.2,10725.6,12154.4,####,####,11507,11650.6,11141.8,11549.6,689.9,702.7,693.4,723.1,####,####,689.6,691,690.3,690,359171.1,359864.3,357814.6,364343,####,####,350321.1,352788.3,364320,351053.3,157.88%,113.86%,46.43%,38.23%,####,####,42.83%,30.14%,158.28%,110.93%,76.74%,74.29%,49.20%,33.79%,####,####,46.46%,28.47%,76.72%,67.97%
01-Well-C6,1,,200000,176876,1931,174945,0,0,776,118610,196675,119386,100.00%,88.44%,0.97%,87.47%,0.00%,0.00%,0.39%,59.31%,98.34%,59.69%,100.00%,88.44%,1.09%,98.91%,0.00%,0.00%,0.65%,99.35%,98.34%,67.50%,113971.8,118456.9,2051.9,119741.7,####,####,2324,117006.5,114264.2,116261,11383.1,11574.6,8730.4,11606,####,####,8708.7,11621.1,11401.3,11602.2,10466.7,10624.3,8941.9,10642.9,####,####,9369.6,10645.1,10469.4,10636.8,674.3,686,651.6,686.4,####,####,662.9,677.5,674.7,677.4,305788.6,303999.5,239696.7,304709.3,####,####,223083.8,300340.8,310807.8,299838.7,53.78%,43.00%,164.44%,41.52%,####,####,153.51%,29.30%,53.72%,30.45%,35.49%,33.14%,130.87%,32.73%,####,####,132.73%,28.27%,35.46%,28.49%
01-Well-C7,1,,200000,164822,1181,163641,0,0,582,96137,193785,96719,100.00%,82.41%,0.59%,81.82%,0.00%,0.00%,0.29%,48.07%,96.89%,48.36%,100.00%,82.41%,0.72%,99.28%,0.00%,0.00%,0.60%,99.40%,96.89%,58.68%,85731.9,91347.2,3633.9,91980.3,####,####,4002.3,92075.1,86019.3,91545.1,9709.7,10194,9214.5,10201,####,####,9492,10430.6,9722.8,10425,8444.3,8993.9,8983.8,8994,####,####,9162.7,9139.7,8416.1,9139.9,656.4,671.2,657,671.3,####,####,672.6,665.6,656.4,665.6,207425,204996.4,176423,205202.6,####,####,183268.6,208886,213804.7,208731.8,61.55%,50.06%,125.07%,49.22%,####,####,120.40%,35.37%,61.66%,36.24%,42.34%,39.55%,136.82%,39.23%,####,####,140.16%,33.29%,42.34%,33.54%
01-Well-C8,1,,6100,1568,702,866,0,0,287,447,4447,734,100.00%,25.70%,11.51%,14.20%,0.00%,0.00%,4.70%,7.33%,72.90%,12.03%,100.00%,25.70%,44.77%,55.23%,0.00%,0.00%,39.10%,60.90%,72.90%,46.81%,13242.2,44209,486.2,79651.8,####,####,596,88990.3,13111.8,54427.4,10930,11082.3,11636.8,10632.8,####,####,9520.7,11508.2,11374.4,10731,22700.5,10899.7,13105,9112,####,####,12107,10573.1,21980.1,11172.9,602.2,728.7,753.9,708.3,####,####,710.8,691.7,602,699.2,1633148.5,1723311.3,1396958.9,1987860.1,####,####,1365665.6,1809408.6,529491.3,1635901.5,319.66%,105.22%,242.68%,41.82%,####,####,275.76%,35.60%,349.38%,91.40%,195.47%,146.72%,109.48%,38.07%,####,####,81.10%,36.05%,187.07%,130.43%
01-Well-C9,1,,200000,167690,1696,165994,0,0,654,112187,198879,112841,100.00%,83.85%,0.85%,83.00%,0.00%,0.00%,0.33%,56.09%,99.44%,56.42%,100.00%,83.85%,1.01%,98.99%,0.00%,0.00%,0.58%,99.42%,99.44%,67.29%,65700.1,67701.9,2122.4,68372,####,####,2553.2,69963.1,65799.5,69572.4,12675,12663.5,10043.8,12690.3,####,####,9780.2,12886.1,12685.5,12868.1,10878.2,10657.5,9570.2,10668.6,####,####,9989.1,11160.8,10872.8,11154,706.1,722,702.7,722.2,####,####,692.8,705.6,706.4,705.5,931897.3,940064,595879.7,943580.6,####,####,600092.2,935384.4,937100.8,933441.2,88.68%,35.07%,182.61%,33.51%,####,####,178.82%,26.12%,88.70%,27.21%,32.28%,29.59%,112.70%,29.26%,####,####,105.56%,25.29%,32.22%,25.49%
01-Well-C10,1,,200000,170728,3828,166900,0,0,1480,108466,197877,109946,100.00%,85.36%,1.91%,83.45%,0.00%,0.00%,0.74%,54.23%,98.94%,54.97%,100.00%,85.36%,2.24%,97.76%,0.00%,0.00%,1.35%,98.65%,98.94%,64.40%,51088.5,53329.9,2419.8,54497.6,####,####,2904.5,55280.9,51167.1,54575.8,11811.8,11993.5,9328.4,12054.6,####,####,10107.7,12279.6,11819.2,12250.4,10138.4,10433.4,8634,10474.7,####,####,9812.8,10931.9,10124.4,10916.8,690.7,704.6,673.3,705.3,####,####,678.5,691.4,690.9,691.3,459299.8,461853.1,353951.4,464327.9,####,####,369801.4,469972.3,464131.8,468623.9,55.77%,42.08%,163.29%,39.10%,####,####,151.08%,29.29%,55.76%,31.49%,35.52%,32.73%,125.41%,31.83%,####,####,123.95%,28.06%,35.50%,28.56%
01-Well-C11,1,,200000,171075,2793,168282,0,0,1341,114147,196582,115488,100.00%,85.54%,1.40%,84.14%,0.00%,0.00%,0.67%,57.07%,98.29%,57.74%,100.00%,85.54%,1.63%,98.37%,0.00%,0.00%,1.16%,98.84%,98.29%,67.51%,96216.7,100229,2333.9,101853.8,####,####,2677.7,99112.4,96506.6,97992.6,10982.1,11231,8649.8,11273.8,####,####,9215.8,11286.1,11002.8,11262.1,9550.3,9903.3,8455.3,9927.3,####,####,9104.8,9834.8,9547.5,9826.3,667.1,679.8,642.2,680.5,####,####,661,672.5,667.5,672.4,282914.6,280747.7,223978.8,281689.9,####,####,220671.5,280570.2,287693.8,279874.6,59.24%,46.90%,158.76%,44.82%,####,####,151.42%,32.66%,59.24%,34.50%,38.75%,36.41%,131.93%,35.66%,####,####,126.41%,31.02%,38.71%,31.49%
01-Well-C12,1,,200000,168465,3270,165195,0,0,1545,110806,198633,112351,100.00%,84.23%,1.63%,82.60%,0.00%,0.00%,0.77%,55.40%,99.32%,56.18%,100.00%,84.23%,1.94%,98.06%,0.00%,0.00%,1.38%,98.62%,99.32%,66.69%,127921.2,133078.4,2109.2,135670.9,####,####,2434.7,136225.8,128162.3,134386,12298.5,12047.9,9940.3,12089.6,####,####,10661.8,12298.4,11915.3,12275.9,10094.7,10287.5,8910.8,10314.7,####,####,9733.4,10654.9,10056.5,10642.2,688.1,702.8,677.2,703.3,####,####,682.7,689.9,688.2,689.8,421144.8,423920.7,351581.9,425352.7,####,####,361749.5,422171.4,423979.5,421340.5,57.10%,44.48%,165.44%,41.87%,####,####,156.39%,32.83%,56.99%,35.03%,39.02%,36.13%,113.88%,35.22%,####,####,112.41%,31.43%,38.95%,31.99%
01-Well-D1,1,,200000,170230,156066,14164,0,1,101394,8635,195727,110030,100.00%,85.11%,78.03%,7.08%,0.00%,0.00%,50.70%,4.32%,97.86%,55.01%,100.00%,85.11%,91.68%,8.32%,0.00%,0.00%,92.15%,7.85%,97.86%,64.64%,9154.6,9616.2,2266.4,90600,####,2673.4,2269.6,94231.3,9171,9486.6,10966.1,11244.3,11186.5,11880.7,####,7540.3,11412.6,11546.1,10985.3,11423.1,9616.4,9990.5,9922.1,10744.3,####,8368,10157.9,10338.5,9622.6,10172,671.6,685.2,683.8,699.9,####,787.8,676.7,675.7,672,676.6,279693,278524,278446.1,279382.8,####,44599,278264.7,278631.9,285610.1,278291.4,281.63%,274.25%,52.95%,38.06%,####,0.00%,42.96%,32.82%,281.62%,276.40%,48.24%,45.20%,41.18%,34.89%,####,0.00%,35.62%,30.87%,48.25%,38.80%
01-Well-D2,1,,200000,164354,111921,52433,0,0,73980,30407,198608,104387,100.00%,82.18%,55.96%,26.22%,0.00%,0.00%,36.99%,15.20%,99.30%,52.19%,100.00%,82.18%,68.10%,31.90%,0.00%,0.00%,70.87%,29.13%,99.30%,63.51%,13576.1,14295.3,11369.2,20541.2,####,####,12443.4,20271.5,13595.3,14723.6,11956.5,11731.3,10393.8,14586.3,####,####,11286.9,14024.2,11968.9,12084.3,9624.4,9842.9,8500,12709.5,####,####,9710.3,12267.2,9598.8,10455.1,692.3,708.1,688.3,750.2,####,####,685.9,712.7,692.7,693.7,599296.2,607009.9,597654.9,626978.8,####,####,593710.6,623767.9,603434.3,602466.1,50.25%,43.67%,25.01%,33.59%,####,####,21.87%,26.86%,50.06%,34.99%,35.41%,32.41%,24.03%,16.82%,####,####,21.20%,13.43%,35.36%,27.96%
01-Well-D3,1,,200000,140436,64054,76382,0,0,44036,46312,132302,90348,100.00%,70.22%,32.03%,38.19%,0.00%,0.00%,22.02%,23.16%,66.15%,45.17%,100.00%,70.22%,45.61%,54.39%,0.00%,0.00%,48.74%,51.26%,66.15%,64.33%,16453,16887.1,11895.8,21072.8,####,####,13055.4,21153.6,16260.4,17206.5,14960.5,13991.2,11348.4,16207.4,####,####,11996.6,15645.7,14853.1,13867.1,11573.6,11199.1,8730.6,13269.1,####,####,9770.2,13022.1,11790.3,11437.1,721.9,739.3,715.7,759.1,####,####,701.4,734.1,719.6,718.2,2275652.5,2295288.3,2257271.8,2327168.8,####,####,2270167.5,2313545,1561915.9,2292402.5,49.28%,39.25%,28.73%,27.08%,####,####,23.60%,23.25%,50.85%,33.59%,35.60%,32.26%,18.63%,20.03%,####,####,17.05%,16.68%,36.25%,28.40%
01-Well-D4,1,,200000,169616,3235,166381,0,0,1382,109783,199063,111165,100.00%,84.81%,1.62%,83.19%,0.00%,0.00%,0.69%,54.89%,99.53%,55.58%,100.00%,84.81%,1.91%,98.09%,0.00%,0.00%,1.24%,98.76%,99.53%,65.54%,82567.5,85891.5,2371.9,87515.4,####,####,3077.6,88010.4,82655.7,86954.5,11918,12063.4,9354.4,12116,####,####,9918.6,12309.5,11924.3,12279.7,10115.9,10343.6,8662.6,10376.3,####,####,9773.9,10777.9,10110.3,10765.4,690.3,705.3,676.7,705.8,####,####,680.5,691.6,690.5,691.5,486682,489305,362321,491774,####,####,319627,480060.6,488939.6,478066.1,52.93%,44.26%,160.02%,41.74%,####,####,140.95%,33.92%,52.86%,35.80%,38.36%,35.77%,118.09%,34.91%,####,####,128.55%,31.65%,38.34%,32.15%
01-Well-D5,1,,200000,158287,3271,155016,0,0,1337,85732,198582,87069,100.00%,79.14%,1.64%,77.51%,0.00%,0.00%,0.67%,42.87%,99.29%,43.53%,100.00%,79.14%,2.07%,97.93%,0.00%,0.00%,1.54%,98.46%,99.29%,55.01%,71234.4,75144.9,1595.3,76696.8,####,####,1780.4,80858.7,71369,79644.4,11616.5,11794.2,10370.8,11824.2,####,####,10889.8,12273.2,11625.5,12252,9232.1,9618.2,9166.2,9627.7,####,####,10133.2,10562.5,9219.8,10555.9,699.8,717.2,700.1,717.5,####,####,689.5,698.6,700.1,698.4,704247,713246,547907.3,716734.8,####,####,552439.9,709054.3,709212.4,706649.3,52.22%,40.64%,187.29%,37.69%,####,####,182.11%,29.94%,52.08%,32.54%,36.72%,33.56%,99.20%,32.69%,####,####,96.06%,28.96%,36.65%,29.57%
01-Well-D6,1,,200000,167265,3799,163466,0,0,1254,94395,198227,95649,100.00%,83.63%,1.90%,81.73%,0.00%,0.00%,0.63%,47.20%,99.11%,47.82%,100.00%,83.63%,2.27%,97.73%,0.00%,0.00%,1.31%,98.69%,99.11%,57.18%,129330.1,133532.7,2903.7,136568.5,####,####,4561.5,138652.5,129578,136894.6,12555.9,12573.9,9948.2,12635,####,####,10823.4,12870.1,12566.7,12843.2,10539.6,10841.5,8868.9,10887.3,####,####,10501.3,11553.7,10539.2,11539.9,702.3,716.9,695,717.5,####,####,689,699.4,702.6,699.2,481961,485502,379101.4,487974.8,####,####,383437,485815.9,486194,484473.6,63.16%,46.27%,139.48%,43.32%,####,####,107.78%,34.41%,63.12%,36.37%,40.78%,37.60%,125.60%,36.52%,####,####,141.22%,32.68%,40.74%,33.27%
01-Well-D7,1,,200000,156073,155506,567,0,0,85433,111,193018,85544,100.00%,78.04%,77.75%,0.28%,0.00%,0.00%,42.72%,0.06%,96.51%,42.77%,100.00%,78.04%,99.64%,0.36%,0.00%,0.00%,99.87%,0.13%,96.51%,54.81%,3542.4,3827,3691.3,41033.4,####,####,3773.8,86389.3,3540.5,3881,9603.9,10126.5,10078.8,23185.4,####,####,10453.3,12936.5,9613.7,10456.5,8038.3,8739.5,8687.7,22961.1,####,####,9009.7,11299.8,8011.6,9012.7,650.9,669.5,668.3,998.7,####,####,664.5,687.9,651,664.5,205424.3,200499.3,200411.6,224565.3,####,####,197361.3,161790.4,212538.8,197315.1,126.47%,109.12%,60.17%,110.66%,####,####,49.39%,67.61%,125.41%,105.30%,57.50%,53.62%,53.42%,22.83%,####,####,45.61%,101.87%,57.73%,45.67%
01-Well-D8,1,,6618,1939,1811,128,0,0,783,63,4658,846,100.00%,29.30%,27.36%,1.93%,0.00%,0.00%,11.83%,0.95%,70.38%,12.78%,100.00%,29.30%,93.40%,6.60%,0.00%,0.00%,92.55%,7.45%,70.38%,43.63%,3138.5,8691.7,2551.1,95570.5,####,####,3060.7,101164.5,2962.4,10366.3,9781.4,11288.6,11160.7,13098.5,####,####,10758.7,13299.7,9635.2,10947.9,22540.1,10560.9,10577.9,10320.7,####,####,10772,11294.5,18992.6,10810.9,599.3,729.8,728.8,744.8,####,####,697.3,707.3,596.5,698.1,1733302.1,1929024.4,1899362.5,2348693.3,####,####,1780461.5,2423945.5,624903.2,1828380.5,498.14%,297.90%,87.68%,46.96%,####,####,80.73%,46.25%,519.39%,277.98%,197.50%,110.19%,107.84%,54.40%,####,####,94.28%,50.09%,193.75%,89.99%
01-Well-D9,1,,200000,160311,3415,156896,0,0,1371,98993,198313,100364,100.00%,80.16%,1.71%,78.45%,0.00%,0.00%,0.69%,49.50%,99.16%,50.18%,100.00%,80.16%,2.13%,97.87%,0.00%,0.00%,1.37%,98.63%,99.16%,62.61%,43747.6,46131.7,2804.9,47074.8,####,####,3412.8,48570.2,43831.8,47953.3,11620.1,11837.7,9617.3,11886,####,####,10158.7,12270.9,11632.4,12242,9749.8,9811.1,8581.4,9837.9,####,####,9576.9,10508,9749.4,10495.3,694.1,710.3,686.7,710.8,####,####,679.9,696,694.5,695.8,618093.8,623789.2,468817.8,627162.3,####,####,451573.7,620200.3,623285.1,617896.8,58.11%,47.59%,155.48%,45.08%,####,####,142.22%,38.33%,58.01%,40.09%,36.44%,33.14%,119.41%,32.27%,####,####,127.77%,28.02%,36.38%,28.51%
01-Well-D10,1,,200000,165638,5027,160611,0,0,2319,107099,199096,109418,100.00%,82.82%,2.51%,80.31%,0.00%,0.00%,1.16%,53.55%,99.55%,54.71%,100.00%,82.82%,3.03%,96.97%,0.00%,0.00%,2.12%,97.88%,99.55%,66.06%,125298.4,131308.9,2468.8,135341.5,####,####,3028,135715.8,125495.9,132903.6,11789.6,11916,9552.4,11990,####,####,10325.4,12175,11795.6,12135.8,10083.4,10144.1,8348.1,10200.3,####,####,9424.7,10505.9,10076.9,10483,685.8,700.5,676.1,701.2,####,####,678.3,688.1,686,687.9,464482.4,467897.4,392450.1,470258.9,####,####,388358.5,471023.7,466554.3,469271.7,54.79%,45.89%,143.62%,41.86%,####,####,131.20%,33.12%,54.67%,36.42%,39.56%,36.55%,120.49%,35.11%,####,####,120.55%,31.52%,39.48%,32.47%
