Tube Name:,strain_number,Sample ID:,All Events ,P1 Events,V1L Events,V1R Events,H1-UR Events,H1-UL Events,H1-LL Events,H1-LR Events,P2 Events,All Events  % Total,P1 % Total,V1L % Total,V1R % Total,H1-UR % Total,H1-UL % Total,H1-LL % Total,H1-LR % Total,P2 % Total,All Events  % Parent,P1 % Parent,V1L % Parent,V1R % Parent,H1-UR % Parent,H1-UL % Parent,H1-LL % Parent,H1-LR % Parent,P2 % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,P2 Mean FITC-A,All Events  rCV FITC-A,P1 rCV FITC-A,V1L rCV FITC-A,V1R rCV FITC-A,H1-UR rCV FITC-A,H1-UL rCV FITC-A,H1-LL rCV FITC-A,H1-LR rCV FITC-A,P2 rCV FITC-A
01-Well-D11,1,,200000,192736,5789,194211,2,7,4943,158999,163951,100.00%,96.37%,2.89%,97.11%,0.00%,0.00%,2.47%,79.50%,81.98%,100.00%,96.37%,2.89%,97.11%,0.00%,0.00%,3.01%,96.98%,81.98%,44419.6,45629.1,556.2,45727.1,87498.5,6282.5,4467.7,47089.3,45803.1,33.26%,32.10%,182.77%,32.10%,110.29%,21.57%,117.83%,31.60%,32.68%
01-Well-D12,1,,200000,172121,199909,91,0,1,57671,11,57683,100.00%,86.06%,99.95%,0.05%,0.00%,0.00%,28.84%,0.01%,28.84%,100.00%,86.06%,99.95%,0.05%,0.00%,0.00%,99.98%,0.02%,28.84%,275.5,291.7,258.8,36811.1,####,6194.2,269,77611.2,283.9,106.39%,99.03%,106.41%,90.39%,####,0.00%,105.98%,19.92%,106.00%
01-Well-E1,1,,200000,189041,3442,196558,4,3,1198,97276,98481,100.00%,94.52%,1.72%,98.28%,0.00%,0.00%,0.60%,48.64%,49.24%,100.00%,94.52%,1.72%,98.28%,0.00%,0.00%,1.22%,98.78%,49.24%,40628.4,41588.5,691.8,41327.7,47766,9152.9,4122.9,42899.3,42426.7,37.31%,36.80%,178.46%,36.63%,16.56%,4.12%,155.01%,36.96%,37.40%
01-Well-E2,1,,156691,148537,6781,149910,3,8,2679,57854,60544,100.00%,94.80%,4.33%,95.67%,0.00%,0.01%,1.71%,36.92%,38.64%,100.00%,94.80%,4.33%,95.67%,0.00%,0.01%,4.42%,95.56%,38.64%,74553.9,77690.2,367,77909.6,17929.8,5180.3,3774.2,79099.8,75753.9,37.61%,35.45%,199.41%,35.41%,0.26%,59.04%,177.36%,34.61%,36.63%
01-Well-E3,1,,200000,185427,186346,13654,0,1,63768,80,63849,100.00%,92.71%,93.17%,6.83%,0.00%,0.00%,31.88%,0.04%,31.92%,100.00%,92.71%,93.17%,6.83%,0.00%,0.00%,99.87%,0.13%,31.92%,2366.1,2447.5,2043.5,6768.8,####,6692,2361.2,52423.7,2424,48.82%,47.16%,45.71%,19.08%,####,0.00%,52.11%,65.48%,52.17%
01-Well-E4,1,,200000,188958,7187,192813,3,6,6986,153579,160574,100.00%,94.48%,3.59%,96.41%,0.00%,0.00%,3.49%,76.79%,80.29%,100.00%,94.48%,3.59%,96.41%,0.00%,0.00%,4.35%,95.64%,80.29%,40541.8,41963.8,928.7,42018.3,25956.2,8350.8,3979.9,42785.5,41095.6,32.78%,31.24%,185.70%,31.41%,52.47%,60.95%,125.51%,30.69%,32.31%
01-Well-E5,1,,88247,80182,7330,80917,2,7,3332,30631,33972,100.00%,90.86%,8.31%,91.69%,0.00%,0.01%,3.78%,34.71%,38.50%,100.00%,90.86%,8.31%,91.69%,0.01%,0.02%,9.81%,90.17%,38.50%,76136,82161.9,317.2,83004.2,20487,6258.2,2485.2,84581.1,76509.2,38.14%,33.80%,213.75%,33.79%,35.54%,41.71%,180.85%,32.58%,37.60%
01-Well-E6,1,,200000,193189,4753,195247,7,5,2440,153567,156019,100.00%,96.59%,2.38%,97.62%,0.00%,0.00%,1.22%,76.78%,78.01%,100.00%,96.59%,2.38%,97.62%,0.00%,0.00%,1.56%,98.43%,78.01%,102238.6,104867.2,375,104718.3,68172.4,7078,3887.4,106732.6,105119.3,34.17%,33.07%,205.18%,33.22%,74.60%,65.99%,170.30%,32.99%,33.59%
01-Well-E7,1,,31586,27779,5382,26204,6,4,2112,9980,12102,100.00%,87.95%,17.04%,82.96%,0.02%,0.01%,6.69%,31.60%,38.31%,100.00%,87.95%,17.04%,82.96%,0.05%,0.03%,17.45%,82.47%,38.31%,34615.6,38889.8,378.3,41647.5,33248.3,6791.6,1085.6,42675.8,35401.1,44.01%,35.55%,214.00%,32.79%,33.31%,83.63%,202.16%,32.17%,42.00%
01-Well-E8,1,,200000,191864,198008,1992,3,4,145860,14,145881,100.00%,95.93%,99.00%,1.00%,0.00%,0.00%,72.93%,0.01%,72.94%,100.00%,95.93%,99.00%,1.00%,0.00%,0.00%,99.99%,0.01%,72.94%,1644.6,1686.2,1592.3,6841.6,23870.9,5732.3,1670,55498.3,1675.7,42.00%,40.46%,41.63%,13.55%,5.71%,50.02%,42.65%,65.61%,42.64%
01-Well-E9,1,,200000,192214,3772,196228,5,2,986,139416,140409,100.00%,96.11%,1.89%,98.11%,0.00%,0.00%,0.49%,69.71%,70.20%,100.00%,96.11%,1.89%,98.11%,0.00%,0.00%,0.70%,99.29%,70.20%,228777.5,233778.1,438.9,233166.8,167316,7762,1140.2,239618.6,237938,37.47%,36.73%,209.04%,36.66%,118.85%,96.06%,161.52%,36.73%,36.98%
01-Well-E10,1,,200000,181386,2696,197304,0,2,2102,69520,71624,100.00%,90.69%,1.35%,98.65%,0.00%,0.00%,1.05%,34.76%,35.81%,100.00%,90.69%,1.35%,98.65%,0.00%,0.00%,2.93%,97.06%,35.81%,34647.3,35928.7,700.7,35111.2,####,7160.6,6793.3,36334.9,35467.1,38.04%,36.83%,194.70%,37.43%,####,74.60%,106.33%,37.26%,38.57%
01-Well-E11,1,,200000,192895,5042,194958,3,9,5024,149550,154586,100.00%,96.45%,2.52%,97.48%,0.00%,0.00%,2.51%,74.77%,77.29%,100.00%,96.45%,2.52%,97.48%,0.00%,0.01%,3.25%,96.74%,77.29%,31064.8,31808.1,1324.9,31833.9,24695,3932.8,4849.1,32768.3,31859.1,33.02%,32.09%,182.97%,32.04%,19.37%,153.65%,86.45%,31.69%,32.86%
01-Well-E12,0,,10103,7064,5135,4968,5,18,2016,1724,3763,100.00%,69.92%,50.83%,49.17%,0.05%,0.18%,19.95%,17.06%,37.25%,100.00%,69.92%,50.83%,49.17%,0.13%,0.48%,53.57%,45.81%,37.25%,13705.1,18792,355.2,27503.7,24409.9,4538.7,1091.5,30083.1,14421.3,156.60%,92.48%,219.38%,35.57%,22.28%,134.34%,197.48%,30.45%,154.13%
01-Well-F1,1,,200000,192180,164207,35793,2,2,119007,610,119621,100.00%,96.09%,82.10%,17.90%,0.00%,0.00%,59.50%,0.30%,59.81%,100.00%,96.09%,82.10%,17.90%,0.00%,0.00%,99.49%,0.51%,59.81%,3700.5,3782.8,2825.3,7715.5,45032.4,4685.5,3456.9,53792.8,3714.3,39.93%,38.86%,33.53%,20.45%,97.25%,48.76%,40.42%,83.85%,40.62%
01-Well-F2,1,,200000,191313,2994,197006,4,2,1573,92443,94022,100.00%,95.66%,1.50%,98.50%,0.00%,0.00%,0.79%,46.22%,47.01%,100.00%,95.66%,1.50%,98.50%,0.00%,0.00%,1.67%,98.32%,47.01%,80895.7,82647.3,509.8,82117.4,101054.1,8291.3,4026.4,86560,85178.2,36.73%,36.20%,187.61%,36.16%,46.92%,83.98%,175.60%,36.73%,37.39%
01-Well-F3,1,,200000,191256,3848,196152,4,4,1645,86752,88405,100.00%,95.63%,1.92%,98.08%,0.00%,0.00%,0.82%,43.38%,44.20%,100.00%,95.63%,1.92%,98.08%,0.00%,0.00%,1.86%,98.13%,44.20%,169524.8,173431.6,550.2,172839.6,158706.1,5063.5,1542.4,176470.3,173206.8,36.95%,36.26%,179.51%,36.15%,66.90%,16.50%,167.40%,36.09%,36.89%
01-Well-F4,1,,200000,192704,166834,33166,3,6,128993,323,129325,100.00%,96.35%,83.42%,16.58%,0.00%,0.00%,64.50%,0.16%,64.66%,100.00%,96.35%,83.42%,16.58%,0.00%,0.00%,99.74%,0.25%,64.66%,3553.9,3633.3,2847.5,7107.3,17307.1,7779.1,3430,63790,3581.3,38.11%,36.93%,32.45%,18.48%,0.62%,33.80%,38.25%,23.89%,38.34%
01-Well-F5,1,,200000,192569,9008,190992,5,4,61682,70976,132667,100.00%,96.28%,4.50%,95.50%,0.00%,0.00%,30.84%,35.49%,66.33%,100.00%,96.28%,4.50%,95.50%,0.00%,0.00%,46.49%,53.50%,66.33%,16481.2,16853,1322.3,17196.2,33861,7315.5,10233.6,22749.1,16930.1,37.05%,36.15%,119.40%,35.18%,40.34%,22.35%,21.12%,24.37%,37.01%
01-Well-F6,1,,200000,188878,3330,196670,2,4,1461,88029,89496,100.00%,94.44%,1.67%,98.33%,0.00%,0.00%,0.73%,44.01%,44.75%,100.00%,94.44%,1.67%,98.33%,0.00%,0.00%,1.63%,98.36%,44.75%,209040.2,214309.3,498.6,212571.2,160278.6,8384.7,1291,219209.3,215641,36.72%,35.97%,186.43%,36.00%,131.06%,5.57%,167.75%,36.32%,37.08%
01-Well-F7,3,,15880,12902,5590,10290,4,6,4042,1942,5994,100.00%,81.25%,35.20%,64.80%,0.03%,0.04%,25.45%,12.23%,37.75%,100.00%,81.25%,35.20%,64.80%,0.07%,0.10%,67.43%,32.40%,37.75%,26717.2,32550,639.1,40884,33497.4,7388.3,4592,72872.9,26736.5,143.69%,125.83%,197.34%,83.93%,9.60%,26.98%,140.19%,63.91%,142.87%
01-Well-F8,1,,200000,192925,199633,367,1,2,167851,103,167957,100.00%,96.46%,99.82%,0.18%,0.00%,0.00%,83.93%,0.05%,83.98%,100.00%,96.46%,99.82%,0.18%,0.00%,0.00%,99.94%,0.06%,83.98%,1160.3,1185.6,1073.2,48530.6,65446.9,4765.6,1092.7,80476,1141.8,47.04%,45.19%,46.94%,122.20%,0.00%,1.53%,46.61%,35.20%,46.64%
01-Well-F9,1,,200000,192167,4097,195903,3,3,2884,130714,133604,100.00%,96.08%,2.05%,97.95%,0.00%,0.00%,1.44%,65.36%,66.80%,100.00%,96.08%,2.05%,97.95%,0.00%,0.00%,2.16%,97.84%,66.80%,71004.1,72789.2,346.8,72481.8,19436.9,9588.3,4661.9,74430.3,72921.6,35.60%,34.65%,204.69%,34.75%,13.69%,16.25%,173.44%,34.51%,35.39%
01-Well-F10,1,,200000,191614,3901,196099,2,2,1031,97680,98715,100.00%,95.81%,1.95%,98.05%,0.00%,0.00%,0.52%,48.84%,49.36%,100.00%,95.81%,1.95%,98.05%,0.00%,0.00%,1.04%,98.95%,49.36%,229302.7,234498,462.4,233855.1,157147.4,10615.1,1377.3,242927.4,240398.1,38.04%,37.29%,192.09%,37.18%,127.48%,10.89%,147.18%,37.56%,38.01%
01-Well-F11,1,,200000,191327,4504,195496,3,5,4310,165538,169856,100.00%,95.66%,2.25%,97.75%,0.00%,0.00%,2.15%,82.77%,84.93%,100.00%,95.66%,2.25%,97.75%,0.00%,0.00%,2.54%,97.46%,84.93%,65690.3,67572.9,390.9,67194.7,47888.5,6073,5672.4,68578.8,66980.4,32.55%,31.34%,194.00%,31.66%,58.20%,132.67%,123.23%,31.19%,32.16%
01-Well-F12,0,,6889,2905,6657,232,4,6,2325,63,2398,100.00%,42.17%,96.63%,3.37%,0.06%,0.09%,33.75%,0.91%,34.81%,100.00%,42.17%,96.63%,3.37%,0.17%,0.25%,96.96%,2.63%,34.81%,1325.7,2509.5,270.2,31613.2,31994.9,9917,397.2,57337.1,1969.7,207.27%,149.06%,211.48%,88.11%,24.49%,16.30%,212.15%,37.50%,209.92%
01-Well-G1,1,,200000,193194,8768,191232,3,1,77907,19586,97497,100.00%,96.60%,4.38%,95.62%,0.00%,0.00%,38.95%,9.79%,48.75%,100.00%,96.60%,4.38%,95.62%,0.00%,0.00%,79.91%,20.09%,48.75%,10983.5,11209.2,1809.9,11404.1,63258.2,1741.2,8898.9,19601,11050.4,37.25%,36.36%,141.49%,35.34%,60.36%,0.00%,30.61%,20.49%,37.77%
01-Well-G2,1,,200000,190909,8032,191968,3,0,11555,143629,155187,100.00%,95.45%,4.02%,95.98%,0.00%,0.00%,5.78%,71.81%,77.59%,100.00%,95.45%,4.02%,95.98%,0.00%,0.00%,7.45%,92.55%,77.59%,23138.7,23882.7,1268.9,24053.7,36730.2,####,7976.3,25022.8,23753.7,32.29%,31.05%,196.28%,30.81%,73.71%,####,38.75%,29.42%,31.88%
01-Well-G3,1,,200000,188720,160739,39261,1,3,149217,359,149580,100.00%,94.36%,80.37%,19.63%,0.00%,0.00%,74.61%,0.18%,74.79%,100.00%,94.36%,80.37%,19.63%,0.00%,0.00%,99.76%,0.24%,74.79%,3569.5,3701.3,2874.7,6414.1,50470.1,6961.9,3520.8,41993.4,3613.5,39.87%,37.96%,33.52%,17.16%,0.00%,87.50%,39.71%,40.00%,39.81%
01-Well-G4,1,,200000,191017,160353,39647,4,5,162756,257,163022,100.00%,95.51%,80.18%,19.82%,0.00%,0.00%,81.38%,0.13%,81.51%,100.00%,95.51%,80.18%,19.82%,0.00%,0.00%,99.84%,0.16%,81.51%,3590.1,3701.2,2934.4,6242.1,31622.4,2523.2,3575.7,45630.3,3642.6,37.88%,36.36%,31.24%,16.53%,37.69%,15.57%,37.59%,49.86%,37.65%
01-Well-G5,2,,14514,8782,8503,6011,5,4,3922,1531,5462,100.00%,60.51%,58.58%,41.42%,0.03%,0.03%,27.02%,10.55%,37.63%,100.00%,60.51%,58.58%,41.42%,0.09%,0.07%,71.81%,28.03%,37.63%,38253.6,62427.4,588.9,91533,35123.9,6758.5,1816.3,138202.7,40079.6,170.54%,147.71%,190.82%,132.20%,34.06%,44.68%,184.15%,57.61%,166.21%
01-Well-G6,1,,200000,191529,3693,196307,6,2,1684,97118,98810,100.00%,95.76%,1.85%,98.15%,0.00%,0.00%,0.84%,48.56%,49.40%,100.00%,95.76%,1.85%,98.15%,0.01%,0.00%,1.70%,98.29%,49.40%,112737.2,115203.7,409.9,114850.4,142470.2,8575.1,2735.2,118428.9,116456.4,38.19%,37.50%,185.66%,37.39%,63.10%,28.02%,165.11%,37.66%,38.40%
01-Well-G7,1,,14876,11077,6126,8750,5,1,1971,3228,5205,100.00%,74.46%,41.18%,58.82%,0.03%,0.01%,13.25%,21.70%,34.99%,100.00%,74.46%,41.18%,58.82%,0.10%,0.02%,37.87%,62.02%,34.99%,27125.1,35905.4,301.5,45904.7,71859.2,5142.3,642.7,47581.9,29822.4,143.90%,56.83%,215.43%,36.72%,63.81%,0.00%,209.10%,35.95%,121.82%
01-Well-G8,1,,12883,9773,5154,7729,11,10,2013,2930,4964,100.00%,75.86%,40.01%,59.99%,0.09%,0.08%,15.63%,22.74%,38.53%,100.00%,75.86%,40.01%,59.99%,0.22%,0.20%,40.55%,59.02%,38.53%,21369.6,27616.2,308.4,35414.1,97275.7,4364.4,628.7,36752.2,22172.3,136.99%,54.04%,207.69%,35.23%,81.02%,79.91%,212.44%,34.78%,131.46%
01-Well-G9,1,,200000,192672,135862,64138,2,8,144204,411,144625,100.00%,96.34%,67.93%,32.07%,0.00%,0.00%,72.10%,0.21%,72.31%,100.00%,96.34%,67.93%,32.07%,0.00%,0.01%,99.71%,0.28%,72.31%,4137.3,4239,3143.4,6242.9,29949.1,5847.9,4173.6,17775.2,4212.7,37.32%,36.12%,27.64%,18.89%,79.19%,57.24%,37.35%,11.26%,37.46%
01-Well-G10,2,,200000,191674,4959,195041,4,5,2943,167784,170736,100.00%,95.84%,2.48%,97.52%,0.00%,0.00%,1.47%,83.89%,85.37%,100.00%,95.84%,2.48%,97.52%,0.00%,0.00%,1.72%,98.27%,85.37%,149741,153975.7,470.6,153536.2,1485031.5,10201.1,3704.8,155916.3,153319.5,65.63%,64.29%,171.88%,64.40%,25.09%,12.65%,157.45%,64.21%,65.00%
01-Well-G11,1,,200000,193014,3788,196212,3,6,3639,167433,171081,100.00%,96.51%,1.89%,98.11%,0.00%,0.00%,1.82%,83.72%,85.54%,100.00%,96.51%,1.89%,98.11%,0.00%,0.00%,2.13%,97.87%,85.54%,69899.7,71604.1,347.8,71242.4,63037.2,1345.8,6108.8,72971.1,71546.2,33.43%,32.42%,192.96%,32.65%,50.94%,86.78%,85.01%,32.30%,33.09%
01-Well-G12,0,,4351,2004,3847,504,1,1,1251,168,1421,100.00%,46.06%,88.42%,11.58%,0.02%,0.02%,28.75%,3.86%,32.66%,100.00%,46.06%,88.42%,11.58%,0.07%,0.07%,88.04%,11.82%,32.66%,7168.3,14653.9,238.2,60065.6,14983.3,4368.8,396.2,68470,8457.4,197.65%,159.62%,218.28%,41.65%,0.00%,0.00%,207.94%,32.02%,185.99%
01-Well-H1,1,,200000,192639,4561,195439,5,1,30361,60605,90972,100.00%,96.32%,2.28%,97.72%,0.00%,0.00%,15.18%,30.30%,45.49%,100.00%,96.32%,2.28%,97.72%,0.01%,0.00%,33.37%,66.62%,45.49%,17494.1,17861,1236.6,17873.5,32141.5,6137.9,10732.1,21519,17919.4,35.49%,34.57%,192.65%,34.52%,47.65%,0.00%,19.05%,25.80%,35.95%
01-Well-H2,1,,200000,190967,7063,192937,3,6,10127,158737,168873,100.00%,95.48%,3.53%,96.47%,0.00%,0.00%,5.06%,79.37%,84.44%,100.00%,95.48%,3.53%,96.47%,0.00%,0.00%,6.00%,94.00%,84.44%,24519.9,25306.1,1233.6,25372.4,24998.9,6792.4,7503.7,26249.4,25124.5,32.97%,31.68%,190.69%,31.61%,9.99%,44.00%,80.84%,30.44%,32.57%
01-Well-H3,1,,200000,186419,10260,189740,0,3,9725,166041,175769,100.00%,93.21%,5.13%,94.87%,0.00%,0.00%,4.86%,83.02%,87.88%,100.00%,93.21%,5.13%,94.87%,0.00%,0.00%,5.53%,94.47%,87.88%,43076.6,45489,362.3,45386.4,####,5200.6,2360.9,46425.2,43986.5,34.33%,32.03%,174.82%,32.14%,####,6.90%,174.24%,31.49%,33.71%
01-Well-H4,1,,146785,129828,16808,129977,2,5,7023,50419,57449,100.00%,88.45%,11.45%,88.55%,0.00%,0.00%,4.78%,34.35%,39.14%,100.00%,88.45%,11.45%,88.55%,0.00%,0.01%,12.22%,87.76%,39.14%,119564.5,133848.8,204.5,134999.6,105845.9,8722.8,847.6,136188.8,119631.5,37.84%,31.98%,184.75%,31.80%,108.18%,30.51%,181.91%,31.12%,37.30%
01-Well-H5,2,,20167,9415,13820,6347,2,8,6723,641,7374,100.00%,46.69%,68.53%,31.47%,0.01%,0.04%,33.34%,3.18%,36.56%,100.00%,46.69%,68.53%,31.47%,0.03%,0.11%,91.17%,8.69%,36.56%,6314.4,13152.5,342.5,19317.8,49751.1,8085,2339.3,54206.3,6867.1,189.07%,97.54%,187.93%,42.76%,102.59%,63.52%,183.37%,35.48%,192.79%
01-Well-H6,1,,200000,192440,25382,174618,4,0,143670,15480,159154,100.00%,96.22%,12.69%,87.31%,0.00%,0.00%,71.83%,7.74%,79.58%,100.00%,96.22%,12.69%,87.31%,0.00%,0.00%,90.27%,9.73%,79.58%,9393.7,9648.3,3019.2,10320.3,32071.5,####,6971.1,33895.4,9590.5,36.89%,35.71%,23.36%,32.27%,68.61%,####,32.84%,62.26%,36.80%
01-Well-H7,1,,16936,12095,7708,9228,4,9,6423,58,6494,100.00%,71.42%,45.51%,54.49%,0.02%,0.05%,37.93%,0.34%,38.34%,100.00%,71.42%,45.51%,54.49%,0.06%,0.14%,98.91%,0.89%,38.34%,4538.2,6144.5,628.7,7803.8,69173.6,6355.3,4333.9,31516.3,4619.4,115.35%,39.39%,188.75%,27.30%,33.86%,51.47%,109.09%,30.42%,108.97%
01-Well-H8,1,,15514,12720,12046,3468,4,21,5835,19,5879,100.00%,81.99%,77.65%,22.35%,0.03%,0.14%,37.61%,0.12%,37.89%,100.00%,81.99%,77.65%,22.35%,0.07%,0.36%,99.25%,0.32%,37.89%,3649.1,4293.2,2178.9,8755.6,38658.6,3837.1,3011.8,160583.8,3548.2,69.08%,43.16%,71.52%,16.49%,42.39%,140.95%,66.54%,118.51%,67.00%
01-Well-H9,2,,200000,193896,79618,120382,1,1,107769,21419,129190,100.00%,96.95%,39.81%,60.19%,0.00%,0.00%,53.88%,10.71%,64.60%,100.00%,96.95%,39.81%,60.19%,0.00%,0.00%,83.42%,16.58%,64.60%,41413.4,42289,3292.6,66625.7,26150.6,5064.6,5087.1,233982.8,43036.9,46.24%,45.05%,24.21%,37.86%,0.00%,0.00%,38.11%,39.40%,47.32%
01-Well-H10,1,,200000,191775,5739,194261,4,4,4376,108224,112608,100.00%,95.89%,2.87%,97.13%,0.00%,0.00%,2.19%,54.11%,56.30%,100.00%,95.89%,2.87%,97.13%,0.00%,0.00%,3.89%,96.11%,56.30%,35754.2,36835.9,1036.3,36779.8,332817,6826.4,3710.2,37321.3,36024.5,31.69%,30.37%,183.83%,30.59%,20.89%,34.66%,111.86%,30.00%,31.41%
01-Well-H11,1,,150312,143564,5587,144725,6,5,2378,55515,57904,100.00%,95.51%,3.72%,96.28%,0.00%,0.00%,1.58%,36.93%,38.52%,100.00%,95.51%,3.72%,96.28%,0.01%,0.01%,4.11%,95.87%,38.52%,117700.5,121977.5,376.5,122229.7,30190.4,7393.5,1974.3,122775.6,117795,33.71%,32.09%,182.16%,32.18%,18.87%,65.33%,181.45%,32.26%,33.90%
01-Well-H12,0,,5832,2421,5725,107,2,10,2111,15,2138,100.00%,41.51%,98.17%,1.83%,0.03%,0.17%,36.20%,0.26%,36.66%,100.00%,41.51%,98.17%,1.83%,0.09%,0.47%,98.74%,0.70%,36.66%,1550.3,1520.5,229.7,72206.4,19194.8,5758,287.3,85544.1,928.7,225.57%,166.40%,229.12%,94.87%,30.18%,86.44%,233.53%,22.51%,233.64%
