Tube Name:,OD,Time,All Events  Mean FITC-A,P1 Mean FITC-A,P3 Mean FITC-A,All Events  Mean FSC-A,P1 Mean FSC-A,P3 Mean FSC-A,All Events  Median FITC-A,P1 Median FITC-A,P3 Median FITC-A,All Events  Mean FSC-Width,P1 Mean FSC-Width,P3 Mean FSC-Width,All Events  CV FSC-A,P1 CV FSC-A,P3 CV FSC-A,All Events  CV FITC-A,P1 CV FITC-A,P3 CV FITC-A
C1,0.058,5:06,36075.8,40050.1,40746.7,39826.3,26902.9,28253.2,34793.9,36808.9,36940.8,785.4,831.5,833.4,224.70%,43.27%,83.54%,75.13%,45.70%,52.56%
B1,0.041,5:07,153517.3,162220.1,162470.3,24810.1,25759.7,25828.4,146236.4,149983,150067.5,791.9,823.2,823.2,82.83%,41.39%,44.82%,50.21%,43.46%,43.19%
C2,0.081,5:20,38494.8,39674.6,40128.3,26904.3,26243.6,27128.3,34893,35579,35658.4,791.7,814.4,815.9,128.32%,45.47%,73.68%,140.51%,47.62%,51.67%
B2,0.061,5:21,155367.7,161689.7,162033.9,24835.4,25368.9,25395.8,143671.8,146288.4,146415,793,816.2,816.4,72.64%,43.73%,44.18%,50.86%,45.85%,45.64%
C3,0.105,5:31,37920.8,38962.3,38710.2,25545.5,25221.7,26291.2,33726.9,34243.5,34241.3,787.7,804.9,806.9,92.08%,45.09%,80.22%,67.52%,55.04%,53.03%
B3,0.084,5:33,163529.3,166044.2,166206.4,24848.1,24994.9,25123.5,145564,146661.6,146707.2,795.1,805.1,805.3,65.17%,48.87%,54.50%,52.12%,50.06%,50.15%
C4,0.16,5:46,40439,40550.4,40750.2,24992.2,24466.9,24846.1,34219.8,34317.4,34364.2,771.7,774.3,775.7,81.87%,56.21%,68.18%,59.24%,56.37%,57.49%
B4,0.128,5:47,151357.8,154723.4,154819.6,23141.8,23556.5,23581.2,137031.7,138412.9,138437.7,771.5,785.5,785.5,55.64%,45.67%,47.01%,50.01%,47.35%,47.36%
CI1,0.189,5:53,39518.3,39754.6,39912.3,22959.7,22750.6,23002.3,33881.5,34028.4,34059.5,753.5,758.3,759.4,74.61%,53.63%,63.50%,58.31%,54.82%,55.82%
BI1,0.174,5:58,143349.8,150342,150702.6,22716.4,22684,22855.5,134814.5,137798.5,137936.8,763.8,788.4,788.5,171.72%,41.69%,52.10%,54.70%,43.60%,43.37%
CI2,,6:11,36545.8,36756.2,36882.9,22190.2,22001.2,22188.7,31726.1,31858.6,31887.4,751,755.7,756.6,78.43%,53.35%,60.52%,58.53%,53.52%,54.19%
BI2,,6:11,138537,143366,143497.8,21106.4,21699.3,21737.8,129268.8,131277,131319.7,766.7,786.5,786.5,59.16%,42.81%,46.00%,48.86%,44.51%,44.53%
CR1,,6:16,34072.2,35107.8,35156.8,22408.7,22879.4,22945.1,31164.3,31609.8,31624.1,760.7,778.2,778.5,62.25%,47.27%,50.60%,52.12%,47.75%,47.98%
BR1,,6:16,144766.6,149696.3,149815.1,21525.3,22042.4,22062.4,133654.7,135778.2,135802.1,764.8,784.7,784.7,63.67%,44.54%,45.75%,49.53%,45.42%,45.43%
CI3,,6:20,31654.6,32413.5,32467.1,21744.9,21981.9,22035.3,28317.4,28662.9,28673.4,740.4,755,755.4,85.65%,48.63%,51.12%,58.87%,49.92%,50.32%
BI3,,6:20,128969,133488,133613,20742,21443.9,21452.7,119561.2,121486,121512.1,747.3,767.7,767.7,50.62%,43.16%,43.57%,48.63%,44.14%,44.37%
CE1,,6:25,31911.3,32917.3,33036.1,24601.9,25192,25283,29069.4,29503.1,29530.8,774.3,794.1,794.2,60.89%,46.91%,50.91%,53.36%,47.45%,48.37%
BE1,,6:25,125716.2,131421.8,131620.5,23087.3,23881.9,24012,118219.8,120613.5,120675,767.6,793.2,793.3,67.01%,41.43%,49.44%,48.37%,42.62%,42.61%
CI4,,6:29,25358.7,25540.5,25503.7,21290.2,21145.6,21189.6,20528.8,20738.2,20622.5,710,712.1,711.1,78.19%,58.71%,64.56%,74.23%,69.97%,71.22%
BI4,,6:29,121178.5,125276,125662,20677.4,21335.7,21351.4,111952.9,113738.5,113865.7,733,752.2,752.3,56.82%,43.94%,44.57%,48.81%,44.34%,44.33%
CR2,,6:33,30180.8,30873.5,31013.6,22278.7,22156.7,22274,27388.9,27867.7,27900.3,739.9,758.9,759.3,180.26%,45.46%,52.29%,130.06%,47.14%,50.68%
BR2,,6:33,130912.3,135320.2,135650.6,21269.1,21402.5,21422.7,120870.4,122851.4,122966.9,750.8,769.2,769.3,94.71%,43.19%,43.96%,49.02%,44.25%,44.35%
CI5,,6:38,27025,27268.5,27417.7,23359.8,23301.2,23328.2,22611.9,22818.6,22803.6,736.2,739.2,738.4,72.07%,58.55%,61.25%,69.90%,66.79%,66.84%
BI5,,6:38,116896.3,120726.6,121135.2,21728.6,22394.2,22418.4,107810.5,109441.1,109548.5,743.1,762,762.1,75.59%,44.39%,45.14%,49.31%,45.06%,45.04%
CE2,,6:45,32505.1,33942,34135,25511.5,26257.5,26503.9,30130.6,30816.7,30853.1,780.2,809.5,809.8,97.47%,43.93%,54.29%,97.81%,45.81%,47.54%
BE2,,6:45,132522,137824.1,138084.5,23506.3,24418.6,24453.8,123216,125483.9,125543.6,768.8,793,793.1,50.80%,42.30%,44.13%,49.04%,43.77%,44.07%
CI6,,6:48,25197.6,25594.7,25869.9,23542.9,23582.6,23521.5,20762.4,21141.3,21122.8,728.5,733.2,731.2,87.38%,61.38%,63.61%,90.97%,73.08%,70.96%
BI6,,6:50,116248.8,120512.7,121658.3,23992.7,24858.1,24923.4,107932.7,109794.4,110154.8,764,786.2,786.4,50.35%,43.80%,44.96%,50.73%,45.80%,45.29%
CR3,,6:53,27985.1,28746.6,28998.3,22469.6,22773.4,22848.4,25421.3,25803.6,25878.3,751.2,768.3,768.6,123.23%,48.03%,50.06%,81.73%,49.40%,49.22%
BR3,,6:53,119971.9,123928.9,124426.5,20809.9,21346.5,21386.4,111012.4,112715.1,112839.9,746.6,764.8,764.9,80.72%,43.13%,45.51%,49.64%,44.77%,44.88%
CE3,,6:55,32790.4,34016.9,34216.4,25536.2,25977.3,26249.1,30250.9,30924.6,30962.9,774.9,802.5,802.7,126.88%,43.67%,56.03%,103.15%,45.34%,47.42%
BE3,,6:57,133871.9,139003.1,139252.1,23399,24287.2,24291.9,124368.2,126510.3,126573.8,765.6,788.2,788.1,48.86%,42.24%,42.51%,48.85%,43.89%,44.08%
BI7,,7:00,113680.4,117747.8,119634.8,24892,25733.5,25844.3,106034.7,107819,108482.1,755.9,776.9,777.4,64.48%,43.72%,44.44%,50.91%,46.29%,44.75%
CI7,,7:00,23014.8,23108.2,24201,23542.9,23469.1,23851.3,18883.2,18950.1,19434.8,719.8,721.1,724.9,68.39%,63.38%,64.97%,79.84%,78.62%,73.21%
CR4,,7:04,25664.3,26552.2,27621.6,22273.9,22605.5,22783.6,23837.8,24288.1,24695,742,760.8,761.8,115.77%,46.51%,47.59%,112.13%,52.51%,48.21%
BR4,,7:05,113195.3,116984,118224.6,21605.4,21267.4,21626.9,104456.2,106191.7,106560.9,737.2,752,752.6,121.09%,45.68%,65.50%,55.64%,47.36%,46.62%
CE4,,7:09,33229.2,34484.6,34703.9,25660.5,26093.7,26402.3,30741.4,31366.3,31410.9,777.2,802.6,802.8,113.51%,43.37%,57.01%,109.03%,44.64%,46.75%
BE4,,7:11,133536.9,139614,139932,23310.5,24050,24169,125238.9,127840.1,127954.3,756.6,781.4,781.4,78.55%,41.80%,48.82%,49.45%,43.41%,43.25%
CI8,,7:21,28538.3,28825.4,30145.6,26230.5,26141.7,26596.8,25308,25506.2,25999.7,745.3,750.9,754.1,93.09%,52.74%,54.55%,99.24%,57.04%,53.29%
BI8,,7:21,111938.2,116602.3,119441.4,26654.8,27712.8,27859.1,105665.5,107687.2,108679.3,766,787.8,788.3,50.24%,43.19%,43.35%,51.95%,46.90%,44.02%
CR5,,7:25,24459.3,25181.7,26915.9,23636.5,23998.3,24290.6,23025.9,23411.9,24084.6,759.2,774.7,775.5,108.48%,47.78%,49.41%,81.94%,56.31%,48.90%
BR5,,7:25,104883.1,108000.7,112782.7,21691.4,22293.2,22468,99660.3,101003.5,102852.5,753.3,769.5,770.1,52.28%,43.75%,44.56%,53.75%,50.23%,44.97%
CR6,,8:15,20101.1,20541.4,26226.3,25105.7,25507.2,26423.8,20629.1,21084.6,23594.3,760.2,781,783.8,135.12%,48.23%,51.36%,307.97%,72.83%,48.59%
BR6,,8:16,87606.3,90965,111231.6,24921.2,25823.4,26775.9,90794.5,92828.4,101792.5,761.8,783.9,787.1,55.03%,47.89%,48.93%,73.38%,69.32%,46.83%
CE5,,8:19,35656.4,37064.1,37283.2,26590.3,27169.3,27420.1,32995.3,33724.3,33773.8,782.9,811.6,811.8,137.88%,43.08%,53.33%,153.07%,44.37%,46.04%
BE5,,8:20,147965.1,154194.2,154490,24489.7,25492.9,25516.2,138107.3,140736.2,140843,779.8,805,804.9,50.00%,41.64%,43.12%,48.42%,43.16%,43.12%
CR7,,8:47,18088.2,18633.7,25968.9,25979.2,26500.2,28051.1,19381.1,19841.8,23402.3,770.2,789.1,796,95.09%,50.98%,52.16%,147.90%,82.11%,49.23%
BR7,,8:49,75390.6,78214,106938.1,24847.4,25658.5,27248.2,82667.2,84811.3,98919.7,762.1,782.2,788.5,62.30%,47.59%,47.86%,84.33%,80.22%,46.40%
CE6,,8:50,35640.7,37356.7,37561.7,27042.5,27897.3,28119.2,33195.1,33957.6,34005.8,782.2,811.1,811.2,80.13%,43.84%,52.07%,61.23%,44.77%,45.83%
BE6,,8:52,147238.8,154090.1,154431.5,24720.5,25670.2,25687.3,138218.5,141177.5,141283.6,775,800.5,800.2,116.86%,42.82%,44.25%,49.34%,43.34%,43.42%
CR8,,9:29,15826.1,16340.3,24700.9,25675.6,26294.8,28804.6,17435.5,17985.6,22486.1,762.6,781.6,793.2,83.22%,51.30%,50.99%,106.83%,91.89%,50.47%
BR8,,9:26,67072.3,69552.4,105152,24860.8,25671.4,28143.2,75365.8,77967.8,97701.9,759,778.8,790.7,57.81%,49.46%,47.86%,95.15%,91.48%,46.22%
CE7,,9:29,35363.2,37340.8,37563.1,26430.7,27544,27719.9,33251.9,34092.6,34153.9,774,805.4,805.5,82.41%,41.83%,48.29%,75.98%,43.70%,44.17%
BE7,,9:29,147000.7,155001,155476.7,24462.5,25644.1,25683.2,139291.7,142702.6,142860.7,769.2,798.1,798,69.57%,40.13%,42.25%,48.88%,42.05%,41.86%
CR9,,9:53,14733.3,15284.8,24893.9,25860.1,26546.6,29534,16259.9,16992.3,22625.2,765.7,786,800.6,73.27%,52.37%,49.91%,102.69%,95.90%,47.88%
BR9,,9:54,62315.1,64772.1,103237.8,24385.5,25194.9,28088.4,70285.7,73596.4,96430.8,751.3,771.8,786,70.67%,49.42%,46.67%,98.49%,94.13%,44.87%
CE8,,9:56,35217.2,37210.5,37423,26294.9,27447.9,27586.9,33165.2,34009.4,34065.8,770.3,800.5,800.5,72.99%,42.61%,47.83%,57.16%,44.11%,44.66%
BE8,,9:57,149288.3,156788.3,157286.8,24935.8,26022.4,26041.2,141036.7,144059.1,144259,775.4,802.2,801.9,94.66%,41.44%,42.79%,48.88%,42.70%,42.41%
CR10,,11:05,12676.7,13161.3,24305.8,24898.9,25655.5,30211,11627.9,13757.1,22144.6,756.8,776.6,800.7,67.24%,55.17%,48.92%,110.99%,106.52%,46.67%
BR10,,11:06,52280.9,54846.8,100040.8,23162.5,24169,28181.3,33854.2,57173.5,94007.5,742.2,765.4,786.5,67.48%,51.70%,46.37%,113.22%,108.55%,45.55%
CE9,,11:08,35343.5,37550.2,37762.3,26295.2,27663.1,27768,33336.5,34268.5,34330.8,774,807.2,807,63.38%,42.27%,45.94%,54.14%,43.72%,44.09%
BE9,,11:09,150006.2,156377.5,156957.6,25496.9,26304.4,26329.2,141450.4,144085.9,144301.2,787.4,808.1,807.9,166.81%,39.20%,40.23%,52.90%,47.85%,41.56%
CR11,,37:39:00,7992,8274.6,22974.1,21784.6,22366.9,31556.5,953.1,1001.6,21434.1,744.7,764.2,812.5,89.30%,60.46%,52.10%,155.45%,139.63%,46.59%
BR11,,37:40:00,34830.3,36659.5,98468.5,20541.5,21450.6,29043,1235.6,1325.1,93333.6,745.2,764,803.1,69.43%,60.21%,49.88%,152.30%,146.35%,44.51%
CE10,,37:41:00,33881.2,36443.1,36672.3,26186,27922.8,27955,32812.6,33832.4,33910,780.3,813.4,813,73.63%,41.05%,41.34%,61.28%,41.91%,41.38%
BE10,,37:41:00,145395.2,155106.9,155982.4,24651.8,26127.9,26124.6,140824.2,144726.3,145032.7,777.2,808.1,807.7,126.64%,38.92%,38.77%,48.72%,40.31%,39.68%
