Tube Name:,Time:,Sample,"All Events ",P1 Events,V1L Events,V1R Events,P2 Events,H1-UR Events,H1-UL Events,H1-LL Events,H1-LR Events,P3 Events,All Events  % Total,P1 % Total,V1L % Total,V1R % Total,P2 % Total,H1-UR % Total,H1-UL % Total,H1-LL % Total,H1-LR % Total,P3 % Total,All Events  % Parent,P1 % Parent,V1L % Parent,V1R % Parent,P2 % Parent,H1-UR % Parent,H1-UL % Parent,H1-LL % Parent,H1-LR % Parent,P3 % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P2 Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,P3 Mean FITC-A,All Events  Mean ECD-A,P1 Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P2 Mean ECD-A,H1-UR Mean ECD-A,H1-UL Mean ECD-A,H1-LL Mean ECD-A,H1-LR Mean ECD-A,P3 Mean ECD-A,All Events  Median FSC-A,P1 Median FSC-A,V1L Median FSC-A,V1R Median FSC-A,P2 Median FSC-A,H1-UR Median FSC-A,H1-UL Median FSC-A,H1-LL Median FSC-A,H1-LR Median FSC-A,P3 Median FSC-A,All Events  rCV FSC-A,P1 rCV FSC-A,V1L rCV FSC-A,V1R rCV FSC-A,P2 rCV FSC-A,H1-UR rCV FSC-A,H1-UL rCV FSC-A,H1-LL rCV FSC-A,H1-LR rCV FSC-A,P3 rCV FSC-A,All Events  Mean FSC-A,P1 Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,P2 Mean FSC-A,H1-UR Mean FSC-A,H1-UL Mean FSC-A,H1-LL Mean FSC-A,H1-LR Mean FSC-A,P3 Mean FSC-A,All Events  Mean SSC-A,P1 Mean SSC-A,V1L Mean SSC-A,V1R Mean SSC-A,P2 Mean SSC-A,H1-UR Mean SSC-A,H1-UL Mean SSC-A,H1-LL Mean SSC-A,H1-LR Mean SSC-A,P3 Mean SSC-A,All Events  Median SSC-A,P1 Median SSC-A,V1L Median SSC-A,V1R Median SSC-A,P2 Median SSC-A,H1-UR Median SSC-A,H1-UL Median SSC-A,H1-LL Median SSC-A,H1-LR Median SSC-A,P3 Median SSC-A,All Events  rCV SSC-A,P1 rCV SSC-A,V1L rCV SSC-A,V1R rCV SSC-A,P2 rCV SSC-A,H1-UR rCV SSC-A,H1-UL rCV SSC-A,H1-LL rCV SSC-A,H1-LR rCV SSC-A,P3 rCV SSC-A,All Events  Mean FSC-Width,P1 Mean FSC-Width,V1L Mean FSC-Width,V1R Mean FSC-Width,P2 Mean FSC-Width,H1-UR Mean FSC-Width,H1-UL Mean FSC-Width,H1-LL Mean FSC-Width,H1-LR Mean FSC-Width,P3 Mean FSC-Width,All Events  Median FSC-Width,P1 Median FSC-Width,V1L Median FSC-Width,V1R Median FSC-Width,P2 Median FSC-Width,H1-UR Median FSC-Width,H1-UL Median FSC-Width,H1-LL Median FSC-Width,H1-LR Median FSC-Width,P3 Median FSC-Width,All Events  rCV FSC-Width,P1 rCV FSC-Width,V1L rCV FSC-Width,V1R rCV FSC-Width,P2 rCV FSC-Width,H1-UR rCV FSC-Width,H1-UL rCV FSC-Width,H1-LL rCV FSC-Width,H1-LR rCV FSC-Width,P3 rCV FSC-Width
Flask-1,85.91666666666788,Flask,100000,86012,86002,10,99046,0,21,85986,5,0,100.00%,86.01%,86.00%,0.01%,99.05%,0.00%,0.02%,85.99%,0.00%,0.00%,100.00%,86.01%,99.99%,0.01%,99.05%,0.00%,0.02%,99.97%,0.01%,0.00%,63.1,53.6,53.3,2317.6,63.3,####,608.8,53.3,1697.3,####,106.5,56.7,56.0,5582.2,107.0,####,6703.7,54.9,2173.0,####,29284.6,31102.8,31102.1,90544.1,29288.6,####,88568.8,31101.4,169808.8,####,45.08%,37.55%,37.54%,70.55%,45.07%,####,101.61%,37.54%,117.69%,####,30502.1,33061.6,33050.3,130227.1,30510.2,####,94602.9,33038.7,168502.4,####,24304.9,24673.2,24665.6,90817.6,24324.6,####,90638.7,24652.9,97350.0,####,21218.2,22702.4,22701.6,82869.1,21225.2,####,82488.1,22700.9,51980.7,####,43.97%,35.06%,35.06%,75.24%,43.94%,####,86.82%,35.05%,124.16%,####,663.6,713.9,713.8,1122.6,663.6,####,835.3,713.8,1303.6,####,697.3,713.3,713.2,933.0,697.4,####,812.4,713.2,917.1,####,17.86%,15.17%,15.17%,23.90%,17.85%,####,21.44%,15.17%,46.40%,####
Flask-1,117.56666666666933,Flask,94628,80318,80300,18,94084,0,20,80292,6,1,100.00%,84.88%,84.86%,0.02%,99.43%,0.00%,0.02%,84.85%,0.01%,0.00%,100.00%,84.88%,99.98%,0.02%,99.43%,0.00%,0.02%,99.97%,0.01%,0.00%,59.1,60.0,59.5,2411.7,59.1,####,238.3,59.7,4491.1,13780.2,37.4,31.5,30.5,4728.0,37.4,####,5896.2,29.8,3742.9,5753.7,23898.3,25440.9,25438.8,178327.0,23897.1,####,64629.1,25439.1,194422.3,22840.2,45.92%,38.56%,38.54%,63.81%,45.94%,####,102.88%,38.54%,13.51%,0.00%,24871.6,27255.9,27211.2,226368.1,24876.3,####,78632.5,27223.7,285900.2,22840.2,18231.1,19955.8,19926.4,151032.7,18239.0,####,77580.3,19928.0,199337.6,10496.2,16735.6,18047.8,18046.6,126886.5,16736.9,####,66455.8,18045.9,188367.6,10496.2,45.39%,35.32%,35.31%,71.84%,45.39%,####,90.95%,35.31%,19.90%,0.00%,662.0,703.4,703.2,1444.6,662.2,####,750.0,703.3,1668.8,860.1,685.4,702.8,702.8,932.6,685.6,####,747.6,702.8,979.5,860.1,19.29%,16.45%,16.45%,13.94%,19.29%,####,11.58%,16.45%,8.00%,0.00%
Flask-1,141.23333333333358,Flask,67560,59782,59779,3,67158,0,15,59765,2,0,100.00%,88.49%,88.48%,0.00%,99.40%,0.00%,0.02%,88.46%,0.00%,0.00%,100.00%,88.49%,99.99%,0.01%,99.40%,0.00%,0.03%,99.97%,0.00%,0.00%,50.4,53.2,53.1,2169.6,50.5,####,202.5,53.1,2536.1,####,28.7,27.4,27.3,827.5,28.6,####,7785.2,25.4,1149.7,####,24364.9,25451.6,25451.0,618996.2,24379.3,####,58804.2,25449.4,843919.1,####,41.90%,36.87%,36.87%,36.41%,41.92%,####,59.22%,36.86%,39.51%,####,25174.1,26884.8,26850.1,718275.8,25183.5,####,85910.0,26842.6,843919.1,####,18462.5,19350.3,19331.0,404986.5,18406.5,####,94420.2,19317.0,451073.1,####,16862.9,17712.3,17711.9,362722.1,16867.3,####,95118.3,17710.6,451073.1,####,40.11%,33.66%,33.66%,20.40%,40.11%,####,63.31%,33.65%,29.04%,####,674.2,706.5,706.4,3725.3,674.4,####,804.2,706.4,4061.9,####,691.9,704.6,704.6,3571.9,692.2,####,826.0,704.6,4061.9,####,18.09%,16.18%,16.18%,21.58%,18.08%,####,10.96%,16.18%,17.89%,####
Flask-2,86.78333333333285,Flask,53982,42766,42750,16,53718,0,9,42748,9,0,100.00%,79.22%,79.19%,0.03%,99.51%,0.00%,0.02%,79.19%,0.02%,0.00%,100.00%,79.22%,99.96%,0.04%,99.51%,0.00%,0.02%,99.96%,0.02%,0.00%,70.5,77.7,77.0,1972.2,70.5,####,332.7,77.1,2309.4,####,47.3,45.6,44.8,2265.2,47.3,####,3137.5,44.4,2546.6,####,28507.1,31654.1,31649.8,169019.0,28509.3,####,31603.8,31651.4,163942.0,####,51.92%,36.65%,36.64%,42.88%,51.93%,####,72.54%,36.64%,37.92%,####,28549.3,33866.6,33807.8,191013.4,28555.2,####,62340.3,33833.1,164571.2,####,21406.5,24964.0,24922.6,135588.3,21416.0,####,56825.6,24937.4,119338.9,####,20512.3,22938.2,22934.2,139230.7,20512.2,####,49132.6,22936.1,124823.1,####,53.53%,35.50%,35.50%,48.63%,53.51%,####,99.97%,35.49%,70.58%,####,647.9,722.7,722.5,1171.6,648.0,####,803.0,722.6,1060.7,####,694.8,721.1,721.1,907.9,694.8,####,761.8,721.1,903.4,####,19.55%,14.81%,14.80%,8.79%,19.57%,####,23.89%,14.81%,9.11%,####
Flask-2,118.45000000000073,Flask,100000,87689,87677,12,99488,0,10,87676,3,0,100.00%,87.69%,87.68%,0.01%,99.49%,0.00%,0.01%,87.68%,0.00%,0.00%,100.00%,87.69%,99.99%,0.01%,99.49%,0.00%,0.01%,99.99%,0.00%,0.00%,53.9,55.3,55.1,1581.1,53.9,####,350.7,55.2,2020.6,####,32.0,27.3,27.0,2353.9,32.0,####,5411.4,26.6,3121.6,####,23249.1,24437.8,24436.6,214412.4,23242.9,####,22858.2,24437.7,216714.3,####,43.50%,37.81%,37.81%,30.84%,43.54%,####,72.78%,37.81%,22.26%,####,24290.4,26140.6,26099.9,323737.7,24282.9,####,67933.7,26126.1,309638.5,####,18190.8,19208.4,19184.3,195550.9,18192.4,####,56002.3,19198.2,193249.4,####,16519.8,17499.5,17498.4,186067.7,16514.8,####,28132.1,17498.9,196426.3,####,43.04%,35.17%,35.16%,9.31%,43.06%,####,90.55%,35.16%,1.73%,####,662.7,699.9,699.8,1622.2,662.5,####,776.0,699.8,1620.7,####,684.1,698.6,698.6,983.8,684.0,####,805.1,698.6,1066.9,####,18.91%,16.60%,16.60%,16.06%,18.92%,####,18.69%,16.60%,25.35%,####
Flask-2,141.5666666666657,Flask,100000,88378,88373,5,98842,1,12,88364,1,0,100.00%,88.38%,88.37%,0.00%,98.84%,0.00%,0.01%,88.36%,0.00%,0.00%,100.00%,88.38%,99.99%,0.01%,98.84%,0.00%,0.01%,99.98%,0.00%,0.00%,51.8,54.2,54.1,1989.0,51.8,2464.2,239.9,54.1,2750.5,####,27.9,26.9,26.7,2846.4,27.7,2920.7,8802.9,25.6,4170.8,####,24099.8,25266.7,25266.4,188097.6,24105.5,245311.7,31487.7,25266.5,237533.6,####,42.88%,38.04%,38.04%,38.97%,42.92%,0.00%,86.23%,38.03%,0.00%,####,25048.1,26840.5,26831.4,186367.3,25040.4,245311.7,44957.2,26833.1,237533.6,####,17680.5,19016.5,19008.3,162894.2,17628.1,237672.2,61823.9,19006.9,127480.4,####,16570.8,17501.8,17501.6,154718.5,16573.6,237672.2,37273.1,17501.5,127480.4,####,40.44%,34.06%,34.06%,22.49%,40.45%,0.00%,88.43%,34.06%,0.00%,####,667.1,700.6,700.6,1127.8,667.0,939.6,760.7,700.6,1958.4,####,685.6,699.0,699.0,945.8,685.6,939.6,840.2,699.0,1958.4,####,18.72%,16.74%,16.73%,2.58%,18.73%,0.00%,21.97%,16.73%,0.00%,####
Tube-1,88.98333333333358,Tube,92797,79681,79673,8,92329,0,15,79663,3,0,100.00%,85.87%,85.86%,0.01%,99.50%,0.00%,0.02%,85.85%,0.00%,0.00%,100.00%,85.87%,99.99%,0.01%,99.50%,0.00%,0.02%,99.98%,0.00%,0.00%,154.1,72.0,71.8,2013.9,154.5,####,353.4,71.8,2802.0,####,205.8,39.8,39.5,3046.5,206.5,####,4951.3,38.8,2493.9,####,30074.2,32052.9,32051.3,249840.3,30074.7,####,25873.4,32052.9,330324.4,####,45.15%,37.08%,37.07%,55.11%,45.11%,####,89.44%,37.06%,54.04%,####,30390.4,33881.9,33854.5,306952.2,30379.8,####,64485.3,33860.5,449391.3,####,22373.5,24869.4,24853.7,180669.5,22361.2,####,43950.7,24857.1,255958.3,####,21554.4,23188.0,23187.6,171057.7,21556.2,####,24033.9,23188.0,241830.7,####,46.35%,36.23%,36.22%,55.17%,46.34%,####,84.51%,36.22%,77.77%,####,647.6,706.0,705.9,1752.1,647.7,####,803.7,705.9,2338.1,####,687.5,705.5,705.5,1268.0,687.5,####,775.2,705.4,1414.2,####,18.31%,15.34%,15.34%,43.14%,18.31%,####,19.44%,15.34%,51.70%,####
Tube-1,119.0666666666657,Tube,79173,66411,66397,14,78736,1,7,66397,6,0,100.00%,83.88%,83.86%,0.02%,99.45%,0.00%,0.01%,83.86%,0.01%,0.00%,100.00%,83.88%,99.98%,0.02%,99.45%,0.00%,0.01%,99.98%,0.01%,0.00%,50.4,53.4,53.1,1780.4,50.4,2175.9,151.7,53.2,2309.3,####,33.4,30.4,29.8,2668.6,33.4,4146.5,10511.2,29.0,3118.6,####,24380.2,26152.9,26150.5,209897.3,24378.9,217052.4,33841.3,26150.5,212649.1,####,44.62%,36.22%,36.22%,47.94%,44.65%,0.00%,58.94%,36.22%,33.14%,####,24801.5,27573.5,27537.2,199858.1,24800.4,217052.4,44417.1,27554.1,191058.4,####,17903.3,19721.6,19696.0,140884.2,17901.3,167523.9,43721.0,19706.0,139778.6,####,16785.4,18130.6,18128.7,143411.1,16780.9,167523.9,45008.2,18128.7,143411.1,####,43.34%,32.75%,32.74%,52.01%,43.38%,0.00%,34.28%,32.74%,51.76%,####,657.5,708.3,708.2,1133.8,657.4,987.9,772.5,708.2,869.7,####,686.1,706.6,706.6,925.3,685.9,987.9,775.3,706.6,875.5,####,19.61%,16.44%,16.44%,9.93%,19.63%,0.00%,9.52%,16.45%,6.88%,####
Tube-1,141.9333333333343,Tube,100000,88453,88442,11,99374,0,7,88442,4,0,100.00%,88.45%,88.44%,0.01%,99.37%,0.00%,0.01%,88.44%,0.00%,0.00%,100.00%,88.45%,99.99%,0.01%,99.37%,0.00%,0.01%,99.99%,0.00%,0.00%,63.6,54.0,53.8,1937.7,59.5,####,656.7,53.8,2670.4,####,53.0,28.7,28.4,2561.6,49.1,####,12708.8,27.5,3680.4,####,23076.5,24132.6,24131.7,190272.3,23075.4,####,25640.5,24132.4,203464.8,####,42.04%,37.20%,37.20%,61.73%,42.03%,####,113.11%,37.19%,45.80%,####,24198.3,25809.8,25774.1,313117.0,24170.5,####,64736.0,25792.9,331540.2,####,17297.7,18248.7,18225.1,207573.6,17277.5,####,54736.7,18236.1,232999.6,####,15818.2,16671.5,16670.9,168350.9,15819.2,####,18787.3,16671.2,183356.8,####,41.43%,34.34%,34.34%,30.89%,41.42%,####,87.40%,34.34%,23.95%,####,668.1,701.4,701.3,1525.2,668.2,####,693.3,701.4,1473.5,####,685.6,699.1,699.1,998.0,685.6,####,751.8,699.1,991.2,####,18.69%,16.69%,16.69%,17.15%,18.69%,####,30.18%,16.69%,9.77%,####
Tube-2,89.5666666666657,Tube,38519,29484,29470,14,38318,0,16,29464,4,0,100.00%,76.54%,76.51%,0.04%,99.48%,0.00%,0.04%,76.49%,0.01%,0.00%,100.00%,76.54%,99.95%,0.05%,99.48%,0.00%,0.05%,99.93%,0.01%,0.00%,757.6,82.1,81.4,1522.3,761.4,####,314.2,81.7,1952.1,####,987.6,45.6,43.4,4606.4,992.5,####,6602.8,41.7,2599.7,####,24660.1,28511.6,28508.0,166197.5,24671.1,####,25767.8,28511.1,422683.4,####,62.22%,38.50%,38.47%,52.64%,62.12%,####,74.22%,38.47%,95.64%,####,26729.6,30509.3,30382.6,297095.3,26748.1,####,87800.2,30414.3,501004.9,####,22299.0,22847.3,22766.3,193483.6,22304.6,####,78632.4,22784.5,262300.0,####,18213.2,21039.4,21035.2,153586.3,18216.8,####,41623.6,21036.3,269580.5,####,60.56%,37.48%,37.46%,46.25%,60.48%,####,95.33%,37.46%,79.71%,####,627.8,705.7,705.3,1630.5,628.2,####,809.1,705.4,2431.7,####,675.0,706.1,706.0,942.3,675.1,####,771.5,706.0,1920.0,####,20.38%,14.43%,14.42%,11.07%,20.34%,####,16.47%,14.42%,73.25%,####
Tube-2,119.5666666666657,Tube,79615,66884,66866,18,79218,0,20,66858,6,0,100.00%,84.01%,83.99%,0.02%,99.50%,0.00%,0.03%,83.98%,0.01%,0.00%,100.00%,84.01%,99.97%,0.03%,99.50%,0.00%,0.03%,99.96%,0.01%,0.00%,475.2,64.8,64.1,2761.8,477.3,####,1258.6,64.2,3472.2,####,608.2,34.1,31.3,10749.6,611.1,####,14975.8,29.2,5878.8,####,22670.1,24484.3,24481.2,98086.2,22680.9,####,58490.1,24481.2,256647.9,####,45.92%,36.43%,36.42%,129.48%,45.92%,####,110.73%,36.42%,65.86%,####,23728.9,25771.0,25714.4,235949.8,23745.5,####,125891.2,25711.0,360226.5,####,18621.7,19064.3,19027.0,157578.0,18634.5,####,102665.9,19021.4,218468.3,####,16364.0,17731.1,17730.8,113830.1,16368.6,####,52297.2,17730.1,160898.4,####,44.26%,33.94%,33.93%,121.79%,44.25%,####,103.01%,33.92%,52.51%,####,628.8,681.4,681.2,1326.5,628.9,####,998.3,681.2,1640.2,####,660.4,680.8,680.8,887.5,660.5,####,766.7,680.8,964.3,####,20.22%,16.75%,16.75%,37.53%,20.23%,####,27.47%,16.74%,35.38%,####
Tube-2,142.40000000000146,Tube,28950,23282,23240,42,21254,2,12,23242,26,5,100.00%,80.42%,80.28%,0.15%,73.42%,0.01%,0.04%,80.28%,0.09%,0.02%,100.00%,80.42%,99.82%,0.18%,73.42%,0.01%,0.05%,99.83%,0.11%,0.02%,915.2,112.0,62.5,27508.7,1213.3,208465.4,1141.1,62.9,27489.1,177877.6,1097.9,68.3,33.7,19227.9,1479.9,203722.7,13205.5,32.1,10770.3,86850.5,20568.9,22515.3,22511.6,35216.5,20524.4,332071.4,29012.6,22507.3,56786.1,70491.1,48.75%,36.37%,36.34%,94.51%,49.10%,77.27%,37.51%,36.35%,68.07%,128.66%,23059.2,24074.8,23992.0,69924.0,23701.7,332071.4,40433.0,23985.3,72834.8,88363.0,19784.9,17838.3,17766.7,57503.9,20736.7,230718.1,33537.5,17758.6,65463.4,63705.0,14797.0,16171.3,16165.3,35538.4,14754.3,230718.1,24283.0,16161.8,46448.7,60738.4,44.84%,32.94%,32.89%,87.80%,45.45%,89.03%,51.69%,32.89%,59.05%,76.73%,643.2,693.6,693.5,727.8,639.9,1081.2,752.6,693.5,729.1,705.5,669.4,692.2,692.1,701.0,666.7,1081.2,761.0,692.1,701.0,751.3,20.29%,16.28%,16.28%,18.56%,20.85%,45.23%,8.67%,16.28%,17.93%,6.83%
Cetrtube-1,90.1166666666686,Cetrtube,27870,14872,14858,14,20517,0,12,14856,4,0,100.00%,53.36%,53.31%,0.05%,73.62%,0.00%,0.04%,53.30%,0.01%,0.00%,100.00%,53.36%,99.91%,0.09%,73.62%,0.00%,0.08%,99.89%,0.03%,0.00%,55.0,78.1,76.6,1691.2,51.8,####,619.4,77.1,1960.6,####,54.8,52.9,50.6,2459.1,47.4,####,3447.6,49.5,2393.3,####,16928.8,31558.2,31550.7,152849.8,16691.4,####,35230.4,31553.8,108797.4,####,124.20%,37.89%,37.88%,35.58%,124.82%,####,84.59%,37.87%,50.99%,####,21003.3,33605.0,33499.2,145839.5,20464.4,####,65877.3,33559.0,107436.6,####,18483.1,25974.9,25868.7,138668.2,17246.2,####,75359.7,25916.1,96064.6,####,12979.8,23699.3,23690.5,133482.7,12753.3,####,30031.0,23696.3,89836.5,####,111.09%,37.06%,37.02%,34.42%,110.84%,####,95.54%,37.04%,70.17%,####,548.8,724.0,723.9,896.9,546.0,####,759.3,724.0,824.3,####,624.8,724.4,724.4,916.4,621.2,####,752.8,724.4,838.8,####,38.36%,14.65%,14.64%,8.70%,39.27%,####,24.06%,14.65%,22.93%,####
Cetrtube-1,120.21666666666715,Cetrtube,100000,85550,85541,9,89876,0,15,85533,2,0,100.00%,85.55%,85.54%,0.01%,89.88%,0.00%,0.02%,85.53%,0.00%,0.00%,100.00%,85.55%,99.99%,0.01%,89.88%,0.00%,0.02%,99.98%,0.00%,0.00%,56.8,58.7,58.4,2019.4,57.1,####,590.2,58.5,2984.8,####,37.5,29.8,29.5,3041.5,37.6,####,8564.5,28.2,4706.3,####,22981.6,24495.9,24494.4,181502.1,22962.2,####,50543.5,24492.9,552745.8,####,43.18%,35.44%,35.44%,42.07%,43.14%,####,79.50%,35.44%,85.76%,####,23545.0,25812.3,25785.8,277873.1,23554.8,####,98075.6,25787.3,552745.8,####,18509.6,19120.8,19103.6,182860.8,18579.0,####,88758.5,19102.1,298095.7,####,16633.4,17822.5,17822.1,157171.8,16632.6,####,72957.7,17821.9,298095.7,####,42.14%,33.27%,33.26%,28.59%,42.11%,####,93.47%,33.26%,55.02%,####,653.2,695.7,695.6,1653.2,652.8,####,854.8,695.6,2947.8,####,677.3,694.1,694.0,991.0,677.2,####,905.7,694.0,2947.8,####,18.28%,15.55%,15.55%,12.77%,18.25%,####,13.05%,15.55%,102.71%,####
Cetrtube-1,143.46666666666715,Cetrtube,92397,77022,77015,7,71356,0,12,77007,3,0,100.00%,83.36%,83.35%,0.01%,77.23%,0.00%,0.01%,83.34%,0.00%,0.00%,100.00%,83.36%,99.99%,0.01%,77.23%,0.00%,0.02%,99.98%,0.00%,0.00%,55.2,42.7,42.4,2850.0,40.1,####,419.5,42.4,4625.7,####,62.3,26.8,26.4,5141.9,28.1,####,13213.5,24.6,5078.6,####,21972.5,23577.3,23577.0,160469.5,22070.6,####,59151.3,23577.0,194164.0,####,43.22%,35.14%,35.14%,31.13%,42.60%,####,64.73%,35.13%,52.64%,####,22567.5,25026.1,25014.3,153984.9,22522.7,####,82452.8,25011.4,170511.6,####,16875.0,18469.4,18458.7,136255.8,16538.5,####,65059.7,18457.0,149444.5,####,15674.5,16951.4,16950.8,153923.9,15735.5,####,53842.9,16950.7,170652.9,####,43.27%,32.52%,32.52%,22.31%,42.42%,####,61.65%,32.52%,50.53%,####,657.2,701.6,701.6,864.4,659.6,####,789.9,701.6,862.3,####,681.2,700.6,700.6,914.7,682.4,####,781.2,700.6,914.7,####,18.74%,15.75%,15.75%,13.58%,18.58%,####,15.69%,15.75%,18.77%,####
Cetrtube-2,91.03333333333285,Cetrtube,91177,73940,73931,9,66558,0,5,73931,4,0,100.00%,81.10%,81.09%,0.01%,73.00%,0.00%,0.01%,81.09%,0.00%,0.00%,100.00%,81.10%,99.99%,0.01%,73.00%,0.00%,0.01%,99.99%,0.01%,0.00%,69.9,78.2,78.0,1701.8,70.4,####,695.7,78.1,2033.6,####,52.1,47.4,45.9,12602.2,54.0,####,23301.1,45.7,2909.1,####,26697.5,29684.9,29683.8,136707.3,26548.5,####,68351.0,29683.9,147711.3,####,54.61%,39.84%,39.84%,53.39%,55.94%,####,49.90%,39.84%,28.19%,####,27062.7,31419.4,31406.6,136536.3,26971.9,####,71082.1,31410.6,143944.3,####,20299.5,22427.9,22416.3,117452.4,20295.7,####,73081.3,22418.3,135653.8,####,18607.7,20861.6,20861.1,120803.6,18529.1,####,60291.0,20861.2,145708.2,####,56.00%,38.86%,38.85%,36.78%,56.73%,####,88.79%,38.86%,37.32%,####,621.7,698.9,698.9,1009.3,613.2,####,793.5,698.9,899.0,####,673.1,700.9,700.9,888.5,667.8,####,772.1,700.9,873.4,####,21.89%,16.72%,16.71%,14.60%,22.76%,####,22.37%,16.71%,0.82%,####
Cetrtube-2,120.1833333333343,Cetrtube,89868,74010,73993,17,65428,0,11,73992,7,0,100.00%,82.35%,82.34%,0.02%,72.80%,0.00%,0.01%,82.33%,0.01%,0.00%,100.00%,82.35%,99.98%,0.02%,72.80%,0.00%,0.01%,99.98%,0.01%,0.00%,55.9,56.3,55.9,1790.7,57.3,####,370.4,56.0,2251.7,####,39.4,28.9,28.3,2823.2,42.1,####,5408.9,27.8,3224.6,####,23932.1,25914.2,25909.5,189936.2,23958.4,####,38850.3,25910.9,236942.1,####,44.92%,35.34%,35.33%,50.63%,44.30%,####,70.89%,35.33%,32.16%,####,24714.2,27445.5,27378.5,319156.8,24808.1,####,75962.1,27405.9,370375.9,####,18952.0,20024.5,19977.7,223569.8,19007.1,####,74415.8,19993.8,259009.4,####,16875.9,18390.5,18388.6,185919.0,16885.3,####,35237.3,18389.1,222106.3,####,45.12%,33.01%,33.00%,38.62%,44.59%,####,92.93%,33.00%,50.63%,####,663.1,715.3,715.0,1594.0,667.6,####,831.0,715.1,1853.8,####,691.9,712.7,712.7,981.3,694.0,####,831.8,712.7,1047.3,####,18.31%,15.00%,15.00%,9.97%,17.89%,####,18.55%,15.00%,12.09%,####
Cetrtube-2,143.48333333333358,Cetrtube,100000,87204,87198,6,99133,0,4,87196,4,0,100.00%,87.20%,87.20%,0.01%,99.13%,0.00%,0.00%,87.20%,0.00%,0.00%,100.00%,87.20%,99.99%,0.01%,99.13%,0.00%,0.00%,99.99%,0.00%,0.00%,44.8,46.3,46.1,2958.5,44.8,####,142.3,46.2,3751.9,####,27.1,26.0,25.8,3235.1,27.2,####,4222.9,25.6,4183.0,####,22778.9,23798.0,23797.4,417758.9,22785.7,####,86935.5,23797.4,640767.9,####,39.72%,35.52%,35.52%,84.17%,39.75%,####,27.00%,35.52%,71.20%,####,23821.8,25482.9,25440.4,644227.4,23821.6,####,75411.9,25443.0,844890.7,####,16704.6,18247.1,18223.5,360709.8,16698.0,####,55626.9,18225.4,452750.4,####,15717.0,16680.1,16679.7,248596.8,15718.7,####,47094.8,16679.4,331834.1,####,40.45%,32.94%,32.94%,51.50%,40.45%,####,17.00%,32.94%,60.17%,####,669.5,701.6,701.5,2999.0,669.5,####,826.7,701.5,3947.8,####,683.7,697.8,697.8,1973.3,683.7,####,794.6,697.8,3032.3,####,18.42%,16.60%,16.60%,84.10%,18.45%,####,10.70%,16.60%,63.87%,####