,Time,OD,Sample,All Events ,P1 Events,H2-UR Events,mCherry Events,H2-LL Events,GFP Events,All Events  % Total,P1 % Total,H2-UR % Total,mCherry % Total,H2-LL % Total,GFP % Total,All Events  % Parent,P1 % Parent,H2-UR % Parent,mCherry % Parent,H2-LL % Parent,GFP % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,H2-UR Mean FITC-A,mCherry Mean FITC-A,H2-LL Mean FITC-A,GFP Mean FITC-A,All Events  Mean ECD-A,P1 Mean ECD-A,H2-UR Mean ECD-A,mCherry Mean ECD-A,H2-LL Mean ECD-A,GFP Mean ECD-A,All Events  Mean FSC-A,P1 Mean FSC-A,H2-UR Mean FSC-A,mCherry Mean FSC-A,H2-LL Mean FSC-A,GFP Mean FSC-A,All Events  rCV FSC-A,P1 rCV FSC-A,H2-UR rCV FSC-A,mCherry rCV FSC-A,H2-LL rCV FSC-A,GFP rCV FSC-A,GFP_ratio,mCherry_ratio
#1,0.0,0.02,#1-1,111639,100395,225,24908,4375,70887,100.00%,89.93%,0.20%,22.31%,3.92%,63.50%,100.00%,89.93%,0.22%,24.81%,4.36%,70.61%,25490.7,27664.0,6532.1,457.3,326.9,38978.0,11084.2,12196.3,15795.1,41912.4,410.2,2470.8,65710.5,72264.3,96730.8,60190.5,54179.9,77545.2,42.98%,37.57%,46.73%,33.12%,33.67%,38.84%,0.7399916160134143,0.26000838398658566
#2,0.035555555555561114,0.022000000000000002,#1-2,111009,100420,895,69618,5612,24295,100.00%,90.46%,0.81%,62.71%,5.06%,21.89%,100.00%,90.46%,0.89%,69.33%,5.59%,24.19%,10391.8,11215.5,6009.9,732.2,311.7,43966.2,31166.0,34105.2,14601.5,47609.0,431.0,3906.7,62603.4,67464.9,70435.4,61923.8,53821.4,86385.4,41.70%,36.92%,35.61%,34.12%,31.04%,43.58%,0.25866124893071,0.7413387510692899
#3,0.05500000000000682,0.023,#2-1,111116,100382,102,25633,4485,70162,100.00%,90.34%,0.09%,23.07%,4.04%,63.14%,100.00%,90.34%,0.10%,25.54%,4.47%,69.89%,28509.2,30808.0,10896.4,227.6,322.4,43957.9,11935.9,13071.9,27254.2,43503.3,399.0,2743.5,70234.8,76839.1,141733.9,61424.8,54738.8,83789.0,44.62%,39.27%,50.65%,32.93%,35.01%,41.09%,0.7323692759090433,0.2676307240909567
#4,0.07555555555558158,0.027999999999999997,#2-2,107516,100518,162,72910,5062,22384,100.00%,93.49%,0.15%,67.81%,4.71%,20.82%,100.00%,93.49%,0.16%,72.53%,5.04%,22.27%,9987.4,10468.0,8465.2,223.9,300.7,46149.2,31913.6,33773.5,21538.6,45394.5,414.9,3553.6,65484.6,69155.9,126115.1,63035.9,52329.3,92483.2,38.52%,35.66%,54.38%,32.32%,33.28%,46.30%,0.23491561181434598,0.765084388185654
#5,0.11250000000001137,0.025,#3-1,111039,100429,67,24669,4131,71562,100.00%,90.44%,0.06%,22.22%,3.72%,64.45%,100.00%,90.44%,0.07%,24.56%,4.11%,71.26%,22761.7,24623.0,12996.3,192.8,299.3,34459.6,10895.1,11888.3,32720.8,41917.9,373.6,2181.7,62993.3,68797.2,133906.8,59361.5,51143.2,73008.1,39.12%,34.49%,35.89%,31.72%,32.12%,34.89%,0.7436860780630349,0.2563139219369651
#6,0.13999999999998636,0.027999999999999997,#3-2,106667,100514,103,69200,6854,24357,100.00%,94.23%,0.10%,64.87%,6.43%,22.83%,100.00%,94.23%,0.10%,68.85%,6.82%,24.23%,9316.2,9715.9,12663.1,183.0,281.9,39441.9,29159.4,30689.7,32969.6,43441.1,375.8,2982.7,63558.7,66728.9,129691.5,62184.3,51297.7,83716.5,36.63%,34.29%,41.82%,31.90%,31.87%,40.52%,0.26031370863773107,0.7396862913622689
#7,0.17277777777781012,0.027999999999999997,#4-1,116589,107678,116,27495,5143,74924,100.00%,92.36%,0.10%,23.58%,4.41%,64.26%,100.00%,92.36%,0.11%,25.53%,4.78%,69.58%,23942.2,25398.8,12629.4,194.0,317.3,36389.6,11185.0,11993.7,31945.0,40654.1,404.6,2240.8,68009.0,72791.6,145724.5,61635.0,53009.5,78130.7,38.45%,34.87%,31.94%,31.82%,31.86%,35.23%,0.7315739669855955,0.2684260330144045
#8,0.21222222222223763,0.037000000000000005,#4-2,108197,100390,102,72635,4130,23523,100.00%,92.78%,0.09%,67.13%,3.82%,21.74%,100.00%,92.78%,0.10%,72.35%,4.11%,23.43%,8282.5,8724.1,16453.1,189.4,296.9,36523.5,29148.6,31142.6,42541.0,42044.3,413.1,2825.7,63145.3,67388.0,118643.6,63473.4,51274.8,82082.3,37.50%,34.17%,39.70%,32.68%,32.52%,37.94%,0.24462309459177284,0.7553769054082271
#9,0.2552777777777919,0.032,#5-1,108838,100458,91,24810,5115,70442,100.00%,92.30%,0.08%,22.80%,4.70%,64.72%,100.00%,92.30%,0.09%,24.70%,5.09%,70.12%,21075.4,22365.9,14938.3,198.5,310.2,31784.5,9455.7,10155.3,39284.3,35576.0,373.8,1874.7,64971.8,69674.8,134824.7,60069.2,52157.9,74245.7,38.92%,35.24%,27.84%,32.49%,31.32%,35.27%,0.7395064332419321,0.2604935667580679
#10,0.2763888888889028,0.039,#5-2,108394,100462,94,72641,3931,23796,100.00%,92.68%,0.09%,67.02%,3.63%,21.95%,100.00%,92.68%,0.09%,72.31%,3.91%,23.69%,8767.5,9268.2,14104.6,174.1,300.3,38491.8,27878.3,29807.9,36037.3,40219.2,416.8,2856.4,64344.8,68603.0,149520.9,63857.3,51263.5,85634.6,38.90%,35.41%,34.12%,33.85%,32.40%,38.91%,0.2467708333333333,0.7532291666666667
#11,1.2363888888888823,0.151,#1-1,113522,100362,991,11686,4270,83415,100.00%,88.41%,0.87%,10.29%,3.76%,73.48%,100.00%,88.41%,0.99%,11.64%,4.25%,83.11%,12149.9,13487.5,4178.4,1168.4,221.4,16003.1,3806.7,4182.6,9550.6,24219.9,384.7,1506.2,51922.1,57675.4,59698.2,53372.4,47768.9,58761.3,38.79%,33.05%,34.83%,32.36%,27.71%,33.20%,0.8771503957783641,0.12284960422163593
#12,1.2536111111111268,0.16,#1-2,111734,100403,2515,28334,3949,65605,100.00%,89.86%,2.25%,25.36%,3.53%,58.72%,100.00%,89.86%,2.50%,28.22%,3.93%,65.34%,7665.3,8356.1,4693.6,1259.4,210.7,12051.7,9668.9,10547.7,10796.1,27990.0,361.3,3618.3,52016.8,56667.5,57981.9,54464.1,47170.6,58140.3,36.67%,32.21%,31.84%,31.17%,28.06%,32.71%,0.6983753740914921,0.3016246259085079
#13,1.279166666666697,0.166,#2-1,112462,100397,359,22874,4969,72195,100.00%,89.27%,0.32%,20.34%,4.42%,64.20%,100.00%,89.27%,0.36%,22.78%,4.95%,71.91%,11237.4,12209.3,3571.5,393.2,210.2,16821.9,5150.4,5366.3,8201.1,20301.7,349.1,965.5,53190.9,58010.7,70113.4,53660.5,48547.3,59980.1,37.77%,32.77%,36.37%,32.36%,27.98%,33.03%,0.7594254937163375,0.2405745062836625
#14,1.3033333333333417,0.20199999999999999,#2-2,113581,100554,456,66488,5430,28180,100.00%,88.53%,0.40%,58.54%,4.78%,24.81%,100.00%,88.53%,0.45%,66.12%,5.40%,28.02%,4056.9,4481.1,3366.2,256.3,209.9,15290.3,14081.1,15524.8,7619.5,22709.4,393.4,1616.8,50087.7,54982.9,61109.9,53672.0,45620.4,59780.9,37.42%,32.39%,35.22%,32.01%,28.19%,33.22%,0.29764181007010837,0.7023581899298916
#15,1.7463888888888732,0.013000000000000001,#1-1,76171,66609,324,3488,2215,60582,100.00%,87.45%,0.43%,4.58%,2.91%,79.53%,100.00%,87.45%,0.49%,5.24%,3.33%,90.95%,12719.6,14251.5,4592.7,1210.7,239.9,15566.3,2575.4,2840.0,10504.4,27290.9,258.5,1485.7,48874.3,54178.1,59650.6,51556.8,43153.8,54702.8,39.79%,33.48%,32.81%,34.03%,32.68%,33.22%,0.9455244827944693,0.05447551720553068
#16,1.7655555555555225,0.01,#1-2,38246,32848,330,4495,982,27041,100.00%,85.89%,0.86%,11.75%,2.57%,70.70%,100.00%,85.89%,1.00%,13.68%,2.99%,82.32%,9880.7,11260.9,5305.8,1104.7,248.7,13421.7,6272.3,7093.5,12344.7,32664.4,326.0,3024.5,48087.6,54074.1,59152.6,52223.1,44291.6,54675.0,40.00%,32.63%,34.84%,31.66%,34.87%,32.55%,0.8574999999999999,0.14250000000000007
#17,1.7911111111111495,0.01,#2-1,41295,35702,153,6466,1034,28049,100.00%,86.46%,0.37%,15.66%,2.50%,67.92%,100.00%,86.46%,0.43%,18.11%,2.90%,78.56%,11370.7,12878.9,3512.0,540.9,252.4,16239.6,4290.4,4702.0,8042.0,20819.4,322.9,1129.7,53289.1,56353.1,67998.9,52371.1,43376.0,57685.9,41.52%,34.31%,40.95%,33.31%,30.37%,34.25%,0.8126616323575049,0.18733836764249512
#18,1.8158333333333303,0.01,#2-2,37934,32517,140,19527,1419,11431,100.00%,85.72%,0.37%,51.48%,3.74%,30.13%,100.00%,85.72%,0.43%,60.05%,4.36%,35.15%,4825.2,5524.8,2955.9,287.7,249.0,15157.4,12476.6,14241.4,6571.3,22630.5,365.1,1727.3,47313.0,53600.0,62917.4,52118.2,42218.6,57430.1,40.46%,33.16%,32.98%,32.62%,27.98%,33.73%,0.3692226890756303,0.6307773109243697
#19,1.8363888888888482,0.009000000000000001,#3-1,57207,51474,20,12692,1442,37320,100.00%,89.98%,0.03%,22.19%,2.52%,65.24%,100.00%,89.98%,0.04%,24.66%,2.80%,72.50%,11122.3,11953.3,3359.9,202.2,259.9,16406.1,4989.6,5128.7,7580.6,18434.2,318.4,788.2,51487.2,55060.5,108498.1,50736.2,42583.4,56984.5,37.55%,32.72%,45.59%,31.13%,30.44%,32.89%,0.746191848497324,0.253808151502676
#20,1.8572222222222763,0.01,#3-2,97295,87978,30,63456,3387,21105,100.00%,90.42%,0.03%,65.22%,3.48%,21.69%,100.00%,90.42%,0.03%,72.13%,3.85%,23.99%,3856.8,4190.9,8086.0,170.2,212.0,16912.9,13153.3,14183.0,19679.5,19328.6,272.9,936.3,48639.1,50844.0,103933.0,49573.9,41002.2,56166.7,36.64%,32.59%,49.73%,32.04%,30.43%,33.02%,0.24958385351643778,0.7504161464835623
#21,1.8858333333333235,0.009000000000000001,#4-1,75243,69071,11,17725,2621,48714,100.00%,91.80%,0.01%,23.56%,3.48%,64.74%,100.00%,91.80%,0.02%,25.66%,3.79%,70.53%,10568.8,11307.5,7666.3,142.2,238.5,15966.4,4719.0,4973.6,20005.1,17243.7,302.1,757.0,50830.6,53990.0,131101.8,49420.5,42073.7,56276.4,36.55%,33.09%,11.62%,31.34%,33.18%,33.30%,0.7332363031500156,0.26676369684998436
#22,1.9011111111111632,0.011000000000000001,#4-2,61356,55148,13,40229,2427,12479,100.00%,89.88%,0.02%,65.57%,3.96%,20.34%,100.00%,89.88%,0.02%,72.95%,4.40%,22.63%,3364.0,3670.8,2854.6,151.5,247.3,15682.8,13274.6,14427.4,6086.8,19497.3,349.7,830.1,48993.9,53387.9,246486.4,52046.5,45537.4,59038.2,37.07%,32.40%,65.48%,31.80%,29.87%,33.23%,0.2367650136011718,0.7632349863988281
#23,1.9202777777778124,0.01,#5-1,40676,36395,18,9324,1094,25959,100.00%,89.48%,0.04%,22.92%,2.69%,63.82%,100.00%,89.48%,0.05%,25.62%,3.01%,71.33%,10080.2,11126.6,3343.0,152.5,252.5,15531.9,4818.4,5220.9,7592.0,18172.6,328.4,773.5,52057.6,56808.9,252783.8,53041.5,46017.4,58480.9,36.28%,31.36%,72.41%,30.30%,33.66%,31.59%,0.7357400722021661,0.2642599277978339
#24,1.9408333333333303,0.012,#5-2,44474,39016,12,28043,2205,8756,100.00%,87.73%,0.03%,63.05%,4.96%,19.69%,100.00%,87.73%,0.03%,71.88%,5.65%,22.44%,3375.9,3772.8,5198.5,148.5,251.6,16265.2,12532.5,13993.4,12134.5,19179.3,365.2,819.1,51947.8,53615.5,138370.6,52456.4,44594.6,59483.3,38.90%,32.91%,52.99%,32.30%,32.00%,33.99%,0.23791348600508908,0.7620865139949109
#25,2.3302777777777806,0.019,#1-1,31677,26796,65,793,1628,24310,100.00%,84.59%,0.21%,2.50%,5.14%,76.74%,100.00%,84.59%,0.24%,2.96%,6.08%,90.72%,12787.4,14842.8,5070.7,1182.5,233.4,16292.9,1956.4,2173.3,11808.1,32262.1,276.5,1293.0,54452.3,60001.4,110200.6,57926.3,43787.8,61020.7,43.20%,33.91%,40.01%,32.81%,34.57%,33.15%,0.968403074295474,0.03159692570452599
#26,2.351111111111152,0.02,#1-2,108012,100600,415,8200,3894,88091,100.00%,93.14%,0.38%,7.59%,3.61%,81.56%,100.00%,93.14%,0.41%,8.15%,3.87%,87.57%,11309.6,11975.6,5527.3,810.4,227.5,13564.6,4582.1,4864.2,13015.4,36747.3,240.5,2062.3,53407.4,56656.1,62427.7,54644.6,42596.6,57437.6,36.32%,33.24%,34.56%,33.21%,33.42%,32.77%,0.9148558295027163,0.08514417049728373
#27,2.399444444444498,0.021,#2-1,109756,100459,460,8617,3415,87967,100.00%,91.53%,0.42%,7.85%,3.11%,80.15%,100.00%,91.53%,0.46%,8.58%,3.40%,87.57%,11674.5,12566.6,5653.1,814.2,241.9,14232.4,4920.0,5265.1,13286.6,38784.8,251.4,2134.3,54525.5,58564.4,65385.0,56148.4,45160.0,59285.8,35.88%,32.00%,36.17%,31.90%,31.71%,31.73%,0.9107644305772231,0.08923556942277688
#28,2.4355555555555384,0.026000000000000002,#2-2,112005,100559,317,54260,6010,39972,100.00%,89.78%,0.28%,48.44%,5.37%,35.69%,100.00%,89.78%,0.32%,53.96%,5.98%,39.75%,5251.5,5746.8,3945.4,295.3,247.7,13988.0,11981.9,13201.2,8977.1,23191.5,328.2,1608.9,51118.8,55612.8,65083.2,53962.3,45179.6,59346.7,38.84%,33.80%,37.44%,33.07%,31.22%,34.09%,0.4241809838864582,0.5758190161135418
#29,2.453888888888855,0.022000000000000002,#3-1,101125,91081,105,21440,5373,64163,100.00%,90.07%,0.10%,21.20%,5.31%,63.45%,100.00%,90.07%,0.12%,23.54%,5.90%,70.45%,10388.0,11347.6,3863.2,312.5,260.1,15975.7,4824.2,5276.2,8756.8,19692.8,327.5,867.6,54832.2,58649.0,77734.6,54662.7,46433.3,60972.8,38.72%,33.94%,39.79%,32.94%,30.98%,33.71%,0.7495478242366209,0.2504521757633791
#30,2.473611111111154,0.025,#3-2,107980,100552,73,71126,5378,23975,100.00%,93.12%,0.07%,65.87%,4.98%,22.20%,100.00%,93.12%,0.07%,70.74%,5.35%,23.84%,3832.2,4055.1,7362.9,178.9,253.4,16397.1,12906.5,13715.0,18017.3,19016.2,305.1,983.0,53051.2,55888.1,127425.4,54786.8,46753.3,60986.6,34.42%,31.74%,55.87%,31.30%,29.08%,32.66%,0.25206174666948616,0.7479382533305139
#31,2.4930555555555998,0.022000000000000002,#4-1,110227,100453,29,25283,5723,69418,100.00%,91.13%,0.03%,22.94%,5.19%,62.98%,100.00%,91.13%,0.03%,25.17%,5.70%,69.10%,9935.2,10740.6,8761.6,181.4,250.7,15452.0,4886.3,5283.5,21791.6,18675.0,291.3,810.8,53719.9,57881.4,183610.2,54487.0,47080.8,59955.6,36.77%,32.67%,29.24%,31.82%,29.89%,32.71%,0.7330009547045719,0.26699904529542806
#32,2.5191666666666492,0.031,#4-2,110275,100520,41,72650,5683,22146,100.00%,91.15%,0.04%,65.88%,5.15%,20.08%,100.00%,91.15%,0.04%,72.27%,5.65%,22.03%,3371.0,3636.5,8778.4,161.0,236.1,15900.8,13170.8,14314.7,21744.2,19481.7,319.3,942.1,51616.5,55530.8,167011.1,54549.6,45771.2,61047.9,36.65%,32.67%,34.55%,32.17%,30.77%,33.56%,0.23361611876988336,0.7663838812301167
#33,2.5422222222222786,0.026000000000000002,#5-1,109371,100470,33,25486,6126,68825,100.00%,91.86%,0.03%,23.30%,5.60%,62.93%,100.00%,91.86%,0.03%,25.37%,6.10%,68.50%,9131.5,9816.7,8682.3,151.2,242.7,14248.6,4681.8,5041.2,20428.4,17649.5,276.8,789.1,51392.0,55204.1,160414.2,52170.1,45758.4,57118.0,37.26%,33.52%,34.22%,32.57%,32.06%,33.39%,0.7297326089272398,0.2702673910727602
#34,2.5697222222221967,0.032,#5-2,108567,100472,35,72829,4580,23028,100.00%,92.54%,0.03%,67.08%,4.22%,21.21%,100.00%,92.54%,0.03%,72.49%,4.56%,22.92%,3609.9,3847.6,11225.4,148.5,234.4,16254.1,12966.1,13847.6,26972.4,18787.8,339.6,890.2,52282.0,55469.1,114096.4,54241.2,45395.6,61267.1,35.99%,32.67%,29.29%,32.19%,28.37%,33.63%,0.24022639136358875,0.7597736086364113
#35,2.771111111111111,0.037000000000000005,#1-1,113123,100383,113,1792,4998,93480,100.00%,88.74%,0.10%,1.58%,4.42%,82.64%,100.00%,88.74%,0.11%,1.79%,4.98%,93.12%,12453.5,13869.0,5889.7,974.3,246.6,14854.2,1522.1,1644.6,14050.0,35142.4,253.0,1061.9,51139.7,56540.8,65536.7,55062.7,46007.9,57121.4,37.01%,31.36%,37.91%,32.04%,29.40%,31.23%,0.9811400273943736,0.01885997260562644
#36,2.806666666666672,0.040999999999999995,#1-2,112383,100462,156,6629,7536,86141,100.00%,89.39%,0.14%,5.90%,6.71%,76.65%,100.00%,89.39%,0.16%,6.60%,7.50%,85.74%,10933.4,12070.8,5461.0,486.8,248.7,14008.5,3532.8,3904.6,12784.5,38554.1,301.3,1537.2,49954.5,54833.6,57736.7,53240.8,45151.4,55797.9,38.81%,33.15%,29.38%,33.82%,31.08%,32.87%,0.9285250162443144,0.07147498375568562
#37,2.8291666666666515,0.04,#2-1,110695,100510,567,6607,4543,88793,100.00%,90.80%,0.51%,5.97%,4.10%,80.21%,100.00%,90.80%,0.56%,6.57%,4.52%,88.34%,11616.6,12639.6,4304.5,1089.8,237.0,14186.8,2624.4,2818.5,9917.9,24929.4,253.0,1259.2,53470.0,57776.3,63777.1,54362.3,45730.2,58608.3,36.69%,32.40%,32.58%,32.45%,31.98%,32.19%,0.9307765251290697,0.06922347487093028
#38,2.8563888888889437,0.052000000000000005,#2-2,114058,100382,424,52709,4501,42748,100.00%,88.01%,0.37%,46.21%,3.95%,37.48%,100.00%,88.01%,0.42%,52.51%,4.48%,42.59%,5185.0,5779.2,3785.7,334.1,234.4,13096.7,10876.5,12228.0,8705.3,21979.3,286.4,1496.7,49395.1,54894.5,62359.5,53617.0,44642.4,57475.0,40.09%,33.70%,39.02%,33.26%,31.07%,33.85%,0.44784437434279706,0.5521556256572029
#39,2.8952777777777783,0.044000000000000004,#3-1,105465,96413,230,19576,6306,70301,100.00%,91.42%,0.22%,18.56%,5.98%,66.66%,100.00%,91.42%,0.24%,20.30%,6.54%,72.92%,10280.7,11101.2,3067.8,421.5,250.6,15074.6,4125.4,4445.6,6778.2,18427.8,311.7,915.3,53184.0,57330.0,69151.9,53871.5,46763.8,59202.2,36.65%,32.59%,35.98%,31.70%,30.53%,32.31%,0.7822355717657155,0.21776442823428455
#40,2.9183333333333508,0.054000000000000006,#3-2,108514,100350,122,67859,7966,24403,100.00%,92.48%,0.11%,62.53%,7.34%,22.49%,100.00%,92.48%,0.12%,67.62%,7.94%,24.32%,3728.8,3964.7,6887.2,187.3,223.5,15675.3,12905.5,13760.0,16767.4,19890.9,287.9,1094.2,50929.5,54077.8,94199.0,53092.0,46673.7,59035.6,35.84%,32.50%,48.78%,32.12%,30.75%,33.08%,0.2645203393517511,0.7354796606482489
#41,2.9383333333333326,0.048,#4-1,106717,100515,82,25292,5220,69921,100.00%,94.19%,0.08%,23.70%,4.89%,65.52%,100.00%,94.19%,0.08%,25.16%,5.19%,69.56%,9911.5,10392.4,7305.8,192.8,220.9,14844.9,4800.3,5025.3,17696.1,17587.5,288.9,820.1,55341.2,57978.6,121121.6,54660.5,44169.2,60135.7,35.48%,32.97%,41.03%,31.75%,30.46%,32.89%,0.734375,0.265625
#42,2.9580555555555748,0.061,#4-2,108253,100587,58,73207,5520,21802,100.00%,92.92%,0.05%,67.63%,5.10%,20.14%,100.00%,92.92%,0.06%,72.78%,5.49%,21.67%,3228.2,3417.0,8321.8,147.0,238.4,15188.6,12381.3,13158.7,20463.3,17753.9,354.3,951.1,51905.8,54879.1,108154.0,54143.4,44006.0,59960.9,35.98%,33.05%,24.18%,32.52%,30.81%,33.84%,0.22943356273160403,0.770566437268396
#43,2.9786111111111495,0.051,#5-1,111927,100947,31,20219,21707,58990,100.00%,90.19%,0.03%,18.06%,19.39%,52.70%,100.00%,90.19%,0.03%,20.03%,21.50%,58.44%,7460.6,8150.2,8657.4,143.2,204.0,13818.3,3283.5,3581.8,20439.5,15594.8,136.1,723.4,49386.4,53181.8,112893.7,52271.6,43296.7,57099.9,38.16%,33.62%,28.40%,32.60%,29.75%,33.42%,0.7447432139671212,0.2552567860328788
#44,2.9977777777777987,0.063,#5-2,8,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,,,,,-29.8,,,,,,19.4,,,,,,5738.3,,,,,,79.33%,,,,,,,
#45,3.3483333333333576,0.095,#1-1,115087,99647,54,1340,3970,94283,100.00%,86.58%,0.05%,1.16%,3.45%,81.92%,100.00%,86.58%,0.05%,1.34%,3.98%,94.62%,12205.2,13841.4,5426.3,845.4,229.2,14604.1,1265.6,1323.3,12370.6,32806.3,293.4,912.9,50846.8,57548.7,74654.5,55428.1,48101.7,57966.8,40.88%,33.22%,41.28%,37.42%,30.40%,33.18%,0.9860358482701126,0.013964151729887408
#46,3.3741666666666674,0.107,#1-2,114037,100430,74,6214,3435,90707,100.00%,88.07%,0.06%,5.45%,3.01%,79.54%,100.00%,88.07%,0.07%,6.19%,3.42%,90.32%,11544.7,12887.8,6302.8,364.7,231.4,14230.4,3051.3,3406.6,15053.6,38126.1,304.3,1136.1,51770.2,57875.7,85271.6,54536.6,46734.1,58504.0,40.79%,34.32%,37.66%,33.92%,29.79%,34.21%,0.9358615687493524,0.06413843125064755
#47,3.3905555555555793,0.10099999999999999,#2-1,93143,79614,157,2848,3562,73047,100.00%,85.48%,0.17%,3.06%,3.82%,78.42%,100.00%,85.48%,0.20%,3.58%,4.47%,91.75%,10975.5,12638.9,4809.8,927.7,210.7,13718.4,1889.1,2103.5,11229.8,28755.5,276.9,1133.8,49898.0,56743.5,58071.6,54401.5,46452.7,57333.8,41.88%,33.46%,32.96%,34.46%,30.65%,33.29%,0.9624462393789992,0.0375537606210008
#48,3.4091666666666924,0.13,#2-2,108717,100594,456,47801,4734,47603,100.00%,92.53%,0.42%,43.97%,4.35%,43.79%,100.00%,92.53%,0.45%,47.52%,4.71%,47.32%,5553.7,5904.7,3657.6,299.8,217.2,12120.1,10687.0,11367.8,8411.3,22315.5,308.1,1502.7,52083.9,55055.4,67665.6,53610.4,44417.4,57443.4,36.36%,33.50%,39.11%,32.75%,30.28%,33.95%,0.49894559257697174,0.5010544074230283
